timezone,interventionDuration,interventionType,isReIntervention,app,timestamp,resolution
Europe/Berlin,6,breathingExercise,False,instagram,1750888822.688724,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750889807.578946,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750891191.9632301,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750892077.01831,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750893933.164462,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750914035.74973,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750923583.773345,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750923962.0621638,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750925221.156024,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750925464.291331,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750925603.1528711,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750925751.401092,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750926480.551649,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750928793.907656,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750932011.7681088,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750932518.909256,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750934912.0836391,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750937309.27009,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750944640.1869159,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750946248.173814,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750953256.941773,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750955628.029595,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750957897.121624,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750958833.893197,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750960806.4018369,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750965459.445396,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1750968163.6925359,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1750968180.2563372,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751002242.43017,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1751002399.616847,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1751003071.8974972,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751014928.012661,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751016129.763901,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1751017525.201432,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751023170.17352,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751026113.7961001,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751030443.661334,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751030781.606862,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751030928.961566,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751031170.994742,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1751031184.71412,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751031622.099656,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751031771.105177,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751031930.849594,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751032462.380437,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751033687.0296059,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751034063.6463618,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751034327.8323221,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751034501.762285,dismissedAppOpening
Europe/Berlin,6,breathingExercise,False,instagram,1751035622.262189,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751036417.59446,openedApp
Europe/Berlin,6,breathingExercise,False,instagram,1751038779.0489922,openedApp
