resolution,timestamp,interventionType,app,interventionDuration,timezone,isReIntervention
openedApp,1751943612.121253,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1751945827.125163,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752764123.192721,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752764158.134094,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752772520.262289,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752774079.291884,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752778996.130618,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1752783318.884252,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752783580.5560741,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1752788272.924213,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752789477.105627,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752792622.757071,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752793321.8492641,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1752794083.53948,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752797292.756919,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752797514.970343,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1752799046.9736671,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752804403.364334,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752805006.908632,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752805084.584578,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752808840.5531201,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1752810743.774687,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752812469.554747,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1752813145.869281,breathingExercise,youtube,6,America/Mexico_City,False
dismissedAppOpening,1752813151.1939259,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752813166.1297479,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752813669.1045818,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752845383.0209532,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752846165.486939,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1752846976.39274,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752849773.50858,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752849867.517307,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752860671.609808,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752866570.590464,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752868970.318763,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1752870073.0849261,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752870992.006186,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752873469.358954,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752874928.356367,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752875056.1213899,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752876535.63362,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752877406.166102,breathingExercise,youtube,6,America/Mexico_City,False
openedApp,1752879890.394413,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752881596.985558,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1752881705.993818,breathingExercise,tikTok,6,America/Mexico_City,False
openedApp,1752889073.7120361,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752892776.8464751,breathingExercise,instagram,6,America/Mexico_City,False
openedApp,1752893319.097435,breathingExercise,instagram,6,America/Mexico_City,False
dismissedAppOpening,1752896562.165477,breathingExercise,tikTok,6,America/Mexico_City,False
