interventionType,resolution,timestamp,interventionDuration,isReIntervention,app,timezone
breathingExercise,dismissedAppOpening,1751426569.5023289,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751427576.842667,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751435129.690518,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751435167.340054,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751438050.767537,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751441638.421145,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751448166.716424,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751448414.456332,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751451095.1704469,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751451112.7263842,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751459077.1301708,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751460204.817998,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751501255.8795218,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751504750.5499082,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751510638.994586,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751516503.402217,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751516509.870034,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751516522.882262,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751530406.389452,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751530667.776392,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751537009.688086,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751539279.438696,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751539516.701501,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751544936.408843,6,False,instagram,Australia/Melbourne
breathingExercise,openedApp,1751545115.477268,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751546901.776159,6,False,instagram,Australia/Melbourne
breathingExercise,dismissedAppOpening,1751546903.982685,6,False,instagram,Australia/Melbourne
