timezone,timestamp,interventionDuration,app,isReIntervention,resolution,interventionType,timeIntervalUntilReIntervention
Europe/Berlin,1749828696.011344,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1749832476.5617309,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1749832545.7410321,6,youtube,False,openedApp,breathingExercise,180.0
Europe/Berlin,1749886548.3057098,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1749889504.733381,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1749972856.984652,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1749972879.113905,6,youtube,False,openedApp,breathingExercise,180.0
Europe/Berlin,1749976593.5660949,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1750025139.1451678,6,youtube,False,openedApp,breathingExercise,600.0
Europe/Berlin,1750025809.173744,6,youtube,True,openedApp,breathingExercise,600.0
Europe/Berlin,1750025839.165471,6,youtube,True,openedApp,breathingExercise,600.0
Europe/Berlin,1750084444.025282,6,youtube,False,openedApp,breathingExercise,600.0
Europe/Berlin,1750273240.430087,6,youtube,False,openedApp,breathingExercise,600.0
Europe/Berlin,1750273863.7639,6,youtube,True,openedApp,breathingExercise,600.0
Europe/Berlin,1750273890.118969,6,youtube,True,openedApp,breathingExercise,600.0
Europe/Berlin,1750273912.649903,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1750273934.188499,6,youtube,False,openedApp,breathingExercise,600.0
Europe/Berlin,1750278207.0640159,6,youtube,False,dismissedAppOpening,breathingExercise,
Europe/Berlin,1750351234.550806,6,youtube,True,openedApp,breathingExercise,60.0
