timezone,app,timestamp,interventionType,resolution,interventionDuration,isReIntervention
Europe/Rome,instagram,1751058660.848178,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751058877.043483,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751061696.888435,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751094186.1178389,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751096080.104836,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751097626.922638,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751107148.325716,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751111800.2393951,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751118251.93278,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751121777.815195,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751127100.55613,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751127115.711699,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751131463.8170462,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751132484.170258,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751132881.104941,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751134341.039582,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751134445.9450002,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751138427.9019098,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751138723.2112842,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751145264.1502519,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751149302.436184,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751154312.57486,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751194684.960596,breathingExercise,dismissedAppOpening,6,False
Europe/Rome,instagram,1751232323.123987,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751270400.707283,breathingExercise,openedApp,6,False
Europe/Rome,instagram,1751271807.756497,breathingExercise,openedApp,6,False
