interventionType,interventionDuration,app,isReIntervention,timestamp,resolution,timezone,purpose
breathingExercise,6.0,instagram,False,1753120422.734299,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,instagram,False,1753132373.2234259,openedApp,Africa/Kigali,Search Info
breathingExercise,6.0,instagram,False,1753187146.848974,openedApp,Africa/Kigali,Search Info
breathingExercise,6.0,twitter,False,1753246212.367097,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,instagram,False,1753246241.4511418,openedApp,Africa/Kigali,Stay In the Loop
breathingExercise,6.0,instagram,False,1753246585.2658072,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,instagram,False,1753246588.5351071,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,tikTok,False,1753248217.1562219,openedApp,Africa/Kigali,Bored
breathingExercise,6.0,instagram,False,1753264456.698783,openedApp,Africa/Kigali,Relax
breathingExercise,6.0,twitter,False,1753281008.5813851,openedApp,Africa/Kigali,Message
,,twitter,False,1753281023.364222,closedApp,Africa/Kigali,
breathingExercise,6.0,instagram,False,1753282067.324438,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,tikTok,False,1753289504.455797,openedApp,Africa/Kigali,Search Info
breathingExercise,6.0,instagram,False,1753295806.039742,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,twitter,False,1753296416.264492,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,twitter,False,1753296436.243829,openedApp,Africa/Kigali,Bored
,,twitter,False,1753296814.972173,closedApp,Africa/Kigali,
breathingExercise,6.0,twitter,False,1753299334.725181,openedApp,Africa/Kigali,Escape / Avoid
,,twitter,False,1753299917.5269542,closedApp,Africa/Kigali,
breathingExercise,6.0,instagram,False,1753300147.833873,openedApp,Africa/Kigali,Post something
breathingExercise,6.0,instagram,False,1753300444.414561,openedApp,Africa/Kigali,Post something
breathingExercise,6.0,instagram,False,1753306838.9213681,openedApp,Africa/Kigali,Entertainment
breathingExercise,6.0,tikTok,False,1753311282.94964,openedApp,Africa/Kigali,Search Info
breathingExercise,6.0,twitter,False,1753338551.15071,openedApp,Africa/Kigali,Entertainment
,,twitter,False,1753338584.415237,closedApp,Africa/Kigali,
,,twitter,False,1753338734.3422031,closedApp,Africa/Kigali,
breathingExercise,6.0,twitter,False,1753338798.4848828,openedApp,Africa/Kigali,Check likes
,,twitter,False,1753338860.158216,closedApp,Africa/Kigali,
breathingExercise,6.0,twitter,False,1753347649.6099138,openedApp,Africa/Kigali,Message
,,twitter,False,1753348471.026425,closedApp,Africa/Kigali,
breathingExercise,6.0,instagram,False,1753360539.213403,openedApp,Africa/Kigali,Escape / Avoid
breathingExercise,6.0,instagram,False,1753363919.167011,openedApp,Africa/Kigali,Search Info
breathingExercise,6.0,instagram,False,1753365303.9999409,dismissedAppOpening,Africa/Kigali,
breathingExercise,6.0,instagram,False,1753373215.423033,dismissedAppOpening,Africa/Kigali,
