interventionType,timestamp,resolution,isReIntervention,timezone,app,interventionDuration,purpose
breathingExercise,1752722901.185512,dismissedAppOpening,False,America/New_York,facebook,6,
breathingExercise,1752723323.604996,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752723518.995242,openedApp,False,America/New_York,artifactPersonalizedNews,6,Search Info
breathingExercise,1752723556.432693,dismissedAppOpening,False,America/New_York,artifactPersonalizedNews,6,
breathingExercise,1752723664.0681748,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752745949.021676,dismissedAppOpening,False,America/New_York,facebook,6,
breathingExercise,1752754030.211896,dismissedAppOpening,False,America/New_York,ibooks,6,
breathingExercise,1752754080.515338,dismissedAppOpening,False,America/New_York,appleTV,6,
breathingExercise,1752764798.855585,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752769591.7355661,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752769655.552971,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752770646.328448,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752770719.160602,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752779110.47259,dismissedAppOpening,False,America/New_York,facebook,6,
breathingExercise,1752779139.657027,openedApp,False,America/New_York,cnn,6,Stay In the Loop
breathingExercise,1752779507.1388988,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752779509.676799,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752785933.293097,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752793061.905519,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752793223.92276,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752793252.886523,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752793947.1374469,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752794042.626481,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752795168.6399589,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752795581.991194,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752795856.275161,openedApp,False,America/New_York,facebook,6,Entertainment
breathingExercise,1752801194.427808,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752802895.5462132,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752841621.665709,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752867508.539072,openedApp,False,America/New_York,cnn,6,Search Info
breathingExercise,1752869765.711385,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752869949.2886581,dismissedAppOpening,False,America/New_York,facebook,6,
breathingExercise,1752869965.136066,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752870053.788045,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752870538.033314,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752873612.893517,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752886953.15479,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752887573.185888,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752888506.7338061,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752888963.816434,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752889367.243406,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752890902.163104,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752890932.498602,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752891770.7608461,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752891924.762459,dismissedAppOpening,False,America/New_York,facebook,6,
breathingExercise,1752892000.069714,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752892616.7257318,openedApp,False,America/New_York,facebook,6,Search Info
breathingExercise,1752893166.615244,dismissedAppOpening,False,America/New_York,facebook,6,
breathingExercise,1752946247.684033,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752946748.627071,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752957815.6967912,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752961312.7946692,dismissedAppOpening,False,America/New_York,cnn,6,
breathingExercise,1752961315.103698,dismissedAppOpening,False,America/New_York,cnn,6,
