timezone,timestamp,app,resolution,isReIntervention,interventionType,interventionDuration
Europe/London,1752934351.9778,instagram,openedApp,False,,
Europe/London,1752934711.9778,instagram,closedApp,False,,
Europe/London,1752934711.9778,instagram,dismissedAppOpening,False,,
Europe/London,1752942091.146416,instagram,openedApp,False,,
Europe/London,1752942451.146416,instagram,closedApp,False,,
Europe/London,1752942451.146416,instagram,dismissedAppOpening,False,,
Europe/London,1752945516.205291,instagram,openedApp,False,,
Europe/London,1752945876.205291,instagram,closedApp,False,,
Europe/London,1752945876.205291,instagram,dismissedAppOpening,False,,
Europe/London,1752949668.85485,instagram,openedApp,False,,
Europe/London,1752950028.854851,instagram,closedApp,False,,
Europe/London,1752950028.854851,instagram,dismissedAppOpening,False,,
Europe/London,1752997619.363986,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1752999889.248108,instagram,openedApp,False,,
Europe/London,1753000249.248108,instagram,closedApp,False,,
Europe/London,1753000249.248108,instagram,dismissedAppOpening,False,,
Europe/London,1753003401.370765,instagram,dismissedAppOpening,False,breathingExercise,6.0
Europe/London,1753003423.27431,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753003508.6269531,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753021719.50638,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753026521.4287062,instagram,dismissedAppOpening,False,breathingExercise,6.0
Europe/London,1753026542.6740499,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753038931.9447331,instagram,openedApp,False,,
Europe/London,1753039291.9447331,instagram,closedApp,False,,
Europe/London,1753039291.9447331,instagram,dismissedAppOpening,False,,
Europe/London,1753165505.588012,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753175786.215719,instagram,openedApp,False,,
Europe/London,1753176146.2157202,instagram,closedApp,False,,
Europe/London,1753176146.2157202,instagram,dismissedAppOpening,False,,
Europe/London,1753184195.679503,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753186884.770955,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753271607.8898091,instagram,openedApp,False,,
Europe/London,1753271967.8898091,instagram,closedApp,False,,
Europe/London,1753271967.8898091,instagram,dismissedAppOpening,False,,
Europe/London,1753273213.988214,instagram,openedApp,False,,
Europe/London,1753273573.988214,instagram,closedApp,False,,
Europe/London,1753273573.988214,instagram,dismissedAppOpening,False,,
Europe/London,1753275218.059855,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753277426.074992,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753277987.480811,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753280478.897249,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753345313.460487,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753363640.5240412,instagram,openedApp,False,,
Europe/London,1753364000.5240412,instagram,closedApp,False,,
Europe/London,1753364000.5240412,instagram,dismissedAppOpening,False,,
Europe/London,1753384685.606894,instagram,openedApp,False,breathingExercise,6.0
