isReIntervention,timestamp,interventionDuration,app,interventionType,timezone,resolution
False,1748794190.939518,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1748794356.290821,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1748871407.055794,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749102759.682794,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749102774.988312,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1749145791.584398,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749193363.0047212,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749410237.341934,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1749411937.214256,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749741742.6023269,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749854705.3849921,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749854756.6798558,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1749854773.166977,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1749855604.932119,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1750324017.932576,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1750324095.690213,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1750509073.156968,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1750603436.2208629,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1750658444.568986,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1751219290.187928,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
False,1751288191.922169,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1751386212.1967158,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1751695255.559258,6,instagram,breathingExercise,Africa/Johannesburg,openedApp
False,1752087141.677475,6,instagram,breathingExercise,Africa/Johannesburg,dismissedAppOpening
