interventionDuration,app,timestamp,timezone,resolution,isReIntervention,interventionType,timeIntervalUntilReIntervention
6.0,instagram,1752564041.886363,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752578390.6778169,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752578410.6591601,Europe/London,openedApp,False,breathingExercise,180.0
6.0,instagram,1752578613.739471,Europe/London,dismissedAppOpening,True,breathingExercise,
6.0,instagram,1752578638.1101909,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752578731.617217,Europe/London,openedApp,False,breathingExercise,
6.0,instagram,1752578774.290679,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752578842.174903,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752599373.4885721,Europe/London,openedApp,False,breathingExercise,
,instagram,1752599507.9084868,Europe/London,closedApp,False,,
6.0,instagram,1752604876.594492,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752623676.277406,Europe/London,openedApp,False,breathingExercise,60.0
,instagram,1752623747.454243,Europe/London,closedApp,False,,
6.0,instagram,1752623750.133508,Europe/London,dismissedAppOpening,True,breathingExercise,
6.0,instagram,1752706623.304769,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752747930.8338308,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752747950.487602,Europe/London,openedApp,False,breathingExercise,180.0
,instagram,1752748148.739229,Europe/London,closedApp,False,,
6.0,instagram,1752756991.012047,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752757009.100216,Europe/London,openedApp,False,breathingExercise,180.0
,instagram,1752757193.1907392,Europe/London,closedApp,False,,
6.0,instagram,1752757261.591607,Europe/London,openedApp,False,breathingExercise,180.0
,instagram,1752757447.825064,Europe/London,closedApp,False,,
6.0,instagram,1752763799.48941,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752771844.594936,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752771875.783389,Europe/London,openedApp,False,breathingExercise,180.0
,instagram,1752772062.1455898,Europe/London,closedApp,False,,
6.0,instagram,1752772109.560439,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1752772355.7212172,Europe/London,closedApp,False,,
6.0,instagram,1752778528.487742,Europe/London,openedApp,False,breathingExercise,1740.0
6.0,instagram,1752783153.9336162,Europe/London,openedApp,False,breathingExercise,180.0
,instagram,1752783240.78525,Europe/London,closedApp,False,,
6.0,instagram,1752789371.427847,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1752789473.1519542,Europe/London,closedApp,False,,
6.0,instagram,1752790697.668371,Europe/London,openedApp,False,breathingExercise,60.0
,instagram,1752790715.89101,Europe/London,closedApp,False,,
6.0,instagram,1752847800.711592,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1752848048.3104181,Europe/London,closedApp,False,,
6.0,instagram,1752878135.255306,Europe/London,openedApp,False,breathingExercise,180.0
