interventionType,timestamp,timezone,app,isReIntervention,resolution,interventionDuration,timeIntervalUntilReIntervention,purpose
journaling,1752501954.98425,Europe/London,brave,False,dismissedAppOpening,,,
breathingExercise,1752501965.629642,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752515522.923359,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752515897.135684,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752516152.387306,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752518744.2588382,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752519187.840341,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752519631.239341,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752521305.557375,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752523447.4283562,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752523547.103586,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752523947.578753,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752523950.079772,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752527416.909432,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752528457.140184,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752530821.4852672,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752531082.170608,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752531202.827358,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752531602.295312,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752532693.202928,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752532810.0558891,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752536754.034,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752539758.393659,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752542131.637115,Europe/London,brave,False,dismissedAppOpening,6.0,,
journaling,1752567248.709161,Europe/London,brave,False,dismissedAppOpening,,,
breathingExercise,1752567272.6348891,Europe/London,brave,False,openedApp,6.0,360.0,Stay In the Loop
breathingExercise,1752567310.040648,Europe/London,brave,False,openedApp,6.0,900.0,Stay In the Loop
breathingExercise,1752567517.2240791,Europe/London,brave,False,openedApp,6.0,1380.0,Stay In the Loop
breathingExercise,1752567685.520066,Europe/London,brave,False,openedApp,6.0,1140.0,Stay In the Loop
breathingExercise,1752571428.437705,Europe/London,brave,False,openedApp,6.0,960.0,Entertainment
breathingExercise,1752574017.4076781,Europe/London,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1752574175.223172,Europe/London,brave,False,openedApp,6.0,480.0,Search Info
breathingExercise,1752575248.8167238,Europe/London,brave,False,openedApp,6.0,480.0,Search Info
breathingExercise,1752575248.973464,Europe/London,brave,False,dismissedAppOpening,6.0,,
journaling,1752575664.569814,Europe/London,brave,False,dismissedAppOpening,,,
breathingExercise,1752576213.827238,Europe/London,brave,False,openedApp,6.0,840.0,Search Info
breathingExercise,1752576422.8501,Europe/London,brave,False,openedApp,6.0,660.0,Search Info
breathingExercise,1752576653.014107,Europe/London,brave,False,openedApp,6.0,600.0,Search Info
breathingExercise,1752578078.507154,Europe/London,brave,False,openedApp,6.0,720.0,Stay In the Loop
breathingExercise,1752584042.256644,Europe/London,brave,False,openedApp,6.0,660.0,Search Info
breathingExercise,1752585795.3014321,Europe/London,brave,False,openedApp,6.0,900.0,Search Info
breathingExercise,1752586926.033633,Europe/London,brave,False,openedApp,6.0,1020.0,Search Info
breathingExercise,1752586961.439615,Europe/London,brave,False,openedApp,6.0,780.0,Stay In the Loop
journaling,1752589499.2953339,Europe/London,brave,False,dismissedAppOpening,,,
breathingExercise,1752590563.076385,Europe/London,brave,False,openedApp,6.0,600.0,Search Info
askForTimeLimit,1752603688.780315,Europe/London,brave,False,openedApp,6.0,240.0,
askForTimeLimit,1752603796.0047932,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752606241.361858,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752607569.372661,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752611258.503546,Europe/London,brave,False,openedApp,6.0,60.0,
breathingExercise,1752611341.5922341,Europe/London,brave,False,openedApp,6.0,60.0,Search Info
askForTimeLimit,1752615705.316277,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752621437.491905,Europe/London,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1752659940.107709,Europe/London,brave,False,openedApp,6.0,240.0,Search Info
breathingExercise,1752662614.7688909,Europe/London,brave,False,openedApp,6.0,660.0,Search Info
breathingExercise,1752666811.7608,Europe/London,brave,False,openedApp,6.0,60.0,Search Info
breathingExercise,1752667310.905627,Europe/London,brave,False,openedApp,6.0,1200.0,Stay In the Loop
breathingExercise,1752669000.5804238,Europe/London,brave,False,openedApp,6.0,540.0,Search Info
breathingExercise,1752669068.512528,Europe/London,brave,False,openedApp,6.0,780.0,Search Info
breathingExercise,1752669611.998684,Europe/London,brave,False,openedApp,6.0,780.0,Search Info
journaling,1752670210.183967,Europe/London,brave,False,dismissedAppOpening,,,
askForTimeLimit,1752670363.439036,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752670551.399506,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752670684.32006,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752670762.299573,Europe/London,brave,False,openedApp,6.0,60.0,
breathingExercise,1752672402.079721,Europe/London,brave,False,openedApp,6.0,600.0,Search Info
askForTimeLimit,1752672484.032872,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752672675.67632,Europe/London,brave,False,openedApp,6.0,360.0,
askForTimeLimit,1752674037.4970732,Europe/London,brave,False,openedApp,6.0,360.0,
askForTimeLimit,1752674203.937934,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752674480.605731,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752675446.647551,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752675513.703886,Europe/London,brave,False,openedApp,6.0,360.0,
askForTimeLimit,1752675725.826072,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752675951.2463598,Europe/London,brave,False,openedApp,6.0,60.0,
breathingExercise,1752676035.8980699,Europe/London,brave,True,openedApp,6.0,60.0,Search Info
breathingExercise,1752676036.10393,Europe/London,brave,True,dismissedAppOpening,6.0,,
breathingExercise,1752676119.358011,Europe/London,brave,False,openedApp,6.0,660.0,Search Info
askForTimeLimit,1752676211.679977,Europe/London,brave,False,openedApp,6.0,480.0,
askForTimeLimit,1752676245.822809,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752676283.287002,Europe/London,brave,False,openedApp,6.0,420.0,
breathingExercise,1752676872.395742,Europe/London,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1752676931.4386802,Europe/London,chrome,False,dismissedAppOpening,6.0,,
breathingExercise,1752676948.416113,Europe/London,brave,False,openedApp,6.0,600.0,Search Info
askForTimeLimit,1752677043.099275,Europe/London,brave,False,openedApp,6.0,420.0,
breathingExercise,1752677486.150089,Europe/London,brave,False,openedApp,6.0,480.0,Search Info
askForTimeLimit,1752682587.343659,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752685643.9037519,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752688121.3680701,Europe/London,brave,False,openedApp,6.0,360.0,
askForTimeLimit,1752691471.632127,Europe/London,brave,False,openedApp,6.0,480.0,
askForTimeLimit,1752691719.553104,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752694044.292499,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752694458.003718,Europe/London,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752698719.555233,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752699535.593775,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752699540.208694,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752699754.101767,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752700989.361017,Europe/London,brave,False,openedApp,6.0,360.0,
askForTimeLimit,1752701507.441751,Europe/London,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1752701555.52006,Europe/London,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1752701590.021379,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752701672.888791,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752701758.7606602,Europe/London,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1752701936.434708,Europe/London,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752702212.01334,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752702272.834055,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752702315.795103,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752702334.801902,Europe/London,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752702925.469106,Europe/London,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752703310.818513,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752704805.619748,Europe/London,brave,False,openedApp,6.0,420.0,
askForTimeLimit,1752706602.0019789,Europe/London,brave,False,openedApp,6.0,1140.0,
askForTimeLimit,1752708627.4614348,Europe/London,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1752708685.188535,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752708692.837156,Europe/London,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1752710090.25316,Europe/London,brave,False,openedApp,6.0,60.0,
breathingExercise,1752710169.774349,Europe/London,brave,False,openedApp,6.0,780.0,Stay In the Loop
askForTimeLimit,1752710348.764154,Europe/London,brave,False,openedApp,6.0,480.0,
askForTimeLimit,1752711452.8830051,Europe/London,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752711476.898758,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752712294.42079,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752712498.9515219,Europe/London,brave,False,openedApp,6.0,660.0,
