app,interventionDuration,interventionType,timezone,timestamp,resolution,isReIntervention,timeIntervalUntilReIntervention
tikTok,6,breathingExercise,Asia/Manila,1750075929.055486,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750076335.004761,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750076350.4229012,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750076787.658155,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750083816.007674,openedApp,False,240.0
tikTok,6,breathingExercise,Asia/Manila,1750083965.354127,openedApp,False,60.0
tikTok,6,breathingExercise,Asia/Manila,1750084028.417963,openedApp,False,900.0
tikTok,6,breathingExercise,Asia/Manila,1750093256.062897,openedApp,False,60.0
tikTok,6,breathingExercise,Asia/Manila,1750093343.016151,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750093371.422155,openedApp,False,1020.0
tikTok,6,breathingExercise,Asia/Manila,1750131615.719133,openedApp,False,600.0
tikTok,6,breathingExercise,Asia/Manila,1750132244.087681,openedApp,True,300.0
tikTok,6,breathingExercise,Asia/Manila,1750135544.3295732,openedApp,True,120.0
tikTok,6,breathingExercise,Asia/Manila,1750138630.025378,openedApp,False,780.0
tikTok,6,breathingExercise,Asia/Manila,1750147946.284944,openedApp,False,300.0
tikTok,6,breathingExercise,Asia/Manila,1750148157.9639459,openedApp,False,900.0
tikTok,6,breathingExercise,Asia/Manila,1750154190.468484,openedApp,False,420.0
tikTok,6,breathingExercise,Asia/Manila,1750154212.149331,openedApp,False,1020.0
tikTok,6,breathingExercise,Asia/Manila,1750155250.827769,openedApp,True,60.0
tikTok,6,breathingExercise,Asia/Manila,1750158999.756222,openedApp,False,1440.0
tikTok,6,breathingExercise,Asia/Manila,1750159118.1710181,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750159449.10154,openedApp,False,1560.0
tikTok,6,breathingExercise,Asia/Manila,1750165646.74512,openedApp,False,600.0
tikTok,6,breathingExercise,Asia/Manila,1750165675.476266,openedApp,False,1320.0
tikTok,6,breathingExercise,Asia/Manila,1750166401.848187,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750166886.857928,openedApp,False,720.0
tikTok,6,breathingExercise,Asia/Manila,1750167617.29618,dismissedAppOpening,True,
tikTok,6,breathingExercise,Asia/Manila,1750167647.6206589,openedApp,False,
tikTok,6,breathingExercise,Asia/Manila,1750167902.976634,dismissedAppOpening,False,
tikTok,6,breathingExercise,Asia/Manila,1750167954.842472,dismissedAppOpening,False,
