app,interventionType,timestamp,resolution,timezone,isReIntervention,timeIntervalUntilReIntervention,interventionDuration
tikTok,breathingExercise,1749661362.247809,openedApp,Europe/Zurich,False,240.0,6
tikTok,breathingExercise,1749661477.011599,openedApp,Europe/Zurich,True,420.0,6
instagram,breathingExercise,1749664938.879119,dismissedAppOpening,Europe/Zurich,False,,6
tikTok,breathingExercise,1749664972.480949,openedApp,Europe/Zurich,False,120.0,6
youtube,breathingExercise,1749665138.103417,openedApp,Europe/Zurich,False,,6
tikTok,breathingExercise,1749671621.1829128,openedApp,Europe/Zurich,False,780.0,6
tikTok,breathingExercise,1749701398.5964751,openedApp,Europe/Zurich,False,1200.0,6
linkedin,breathingExercise,1749708127.071188,openedApp,Europe/Zurich,False,,6
linkedin,breathingExercise,1749718999.529488,dismissedAppOpening,Europe/Zurich,False,,6
tikTok,breathingExercise,1749719004.943479,dismissedAppOpening,Europe/Zurich,False,,6
linkedin,breathingExercise,1749719180.7595081,openedApp,Europe/Zurich,False,,6
linkedin,breathingExercise,1749719699.5032248,dismissedAppOpening,Europe/Zurich,False,,6
youtube,breathingExercise,1749735628.720011,openedApp,Europe/Zurich,False,,6
youtube,breathingExercise,1749736043.2610579,openedApp,Europe/Zurich,False,,6
tikTok,breathingExercise,1749762818.10752,openedApp,Europe/Zurich,False,420.0,6
tikTok,breathingExercise,1749766348.054195,openedApp,Europe/Zurich,False,540.0,6
instagram,breathingExercise,1749766937.280731,openedApp,Europe/Zurich,False,240.0,6
tikTok,breathingExercise,1749796917.866938,openedApp,Europe/Zurich,False,600.0,6
tikTok,breathingExercise,1749822372.210273,openedApp,Europe/Zurich,False,840.0,6
youtube,breathingExercise,1749823213.523988,openedApp,Europe/Zurich,False,,6
youtube,breathingExercise,1749823713.0274749,dismissedAppOpening,Europe/Zurich,False,,6
youtube,breathingExercise,1749823736.305896,openedApp,Europe/Zurich,False,,6
youtube,breathingExercise,1749824243.6530662,openedApp,Europe/Zurich,False,,6
youtube,breathingExercise,1749824889.944005,openedApp,Europe/Zurich,False,,6
youtube,breathingExercise,1749826023.934932,openedApp,Europe/Zurich,False,,6
youtube,breathingExercise,1749826391.2748241,dismissedAppOpening,Europe/Zurich,False,,6
youtube,breathingExercise,1749826423.601177,openedApp,Europe/Zurich,False,,6
instagram,breathingExercise,1749826817.945298,openedApp,Europe/Zurich,False,180.0,6
youtube,breathingExercise,1749826878.7325258,openedApp,Europe/Zurich,False,,6
instagram,breathingExercise,1749835790.793577,dismissedAppOpening,Europe/Zurich,False,,6
instagram,breathingExercise,1749835814.087367,openedApp,Europe/Zurich,False,600.0,6
instagram,breathingExercise,1749836646.254805,openedApp,Europe/Zurich,False,360.0,6
tikTok,breathingExercise,1749839794.526684,openedApp,Europe/Zurich,False,,6
instagram,breathingExercise,1749841411.74233,dismissedAppOpening,Europe/Zurich,False,,6
tikTok,breathingExercise,1749841756.1887798,openedApp,Europe/Zurich,False,540.0,6
tikTok,breathingExercise,1749844754.420732,openedApp,Europe/Zurich,False,720.0,6
tikTok,breathingExercise,1749845498.802511,openedApp,Europe/Zurich,True,,6
