resolution,timestamp,interventionDuration,app,timezone,isReIntervention,interventionType,purpose,timeIntervalUntilReIntervention
dismissedAppOpening,1749039782.099508,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749039798.329711,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749039801.650895,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749039831.403798,6.0,whastapp,Asia/Singapore,False,breathingExercise,Relax,
openedApp,1749039858.142336,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
openedApp,1749039944.2440062,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
dismissedAppOpening,1749039993.798153,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749040148.472745,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749042900.735334,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
openedApp,1749042960.274424,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
openedApp,1749043431.454767,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
openedApp,1749043456.15126,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
dismissedAppOpening,1749044197.771255,6.0,facebook,Asia/Singapore,False,breathingExercise,,
openedApp,1749044225.8432388,6.0,facebook,Asia/Singapore,False,breathingExercise,Post something,
dismissedAppOpening,1749044304.180429,6.0,instagram,Asia/Singapore,False,breathingExercise,,
openedApp,1749044324.6027431,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749044533.3161268,6.0,outlook,Asia/Singapore,False,breathingExercise,,
openedApp,1749044592.743439,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
openedApp,1749045169.6017199,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749045237.8582048,,whastapp,Asia/Singapore,False,,,
closedApp,1749045360.643927,,whastapp,Asia/Singapore,False,,,
closedApp,1749045482.694508,,whastapp,Asia/Singapore,False,,,
openedApp,1749045560.958174,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749045632.320143,,whastapp,Asia/Singapore,False,,,
openedApp,1749045719.074944,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749045750.3396301,,whastapp,Asia/Singapore,False,,,
closedApp,1749047955.29038,,whastapp,Asia/Singapore,False,,,
closedApp,1749047988.877836,,whastapp,Asia/Singapore,False,,,
openedApp,1749049217.314826,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749049263.4575071,,whastapp,Asia/Singapore,False,,,
openedApp,1749049278.7936292,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749049360.8970299,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749049377.678401,6.0,instagram,Asia/Singapore,False,breathingExercise,,
openedApp,1749049446.4477859,6.0,whastapp,Asia/Singapore,False,breathingExercise,Search Info,
openedApp,1749083955.705426,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749084006.9974852,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749090477.97609,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749095082.060451,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749095319.899996,,whastapp,Asia/Singapore,False,,,
closedApp,1749095401.558907,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749096069.165462,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749100608.649051,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749100750.305636,,whastapp,Asia/Singapore,False,,,
closedApp,1749104470.314815,,whastapp,Asia/Singapore,False,,,
closedApp,1749104515.915683,,whastapp,Asia/Singapore,False,,,
openedApp,1749104532.911694,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749107461.550109,6.0,whastapp,Asia/Singapore,False,breathingExercise,Search Info,
closedApp,1749107515.9265199,,whastapp,Asia/Singapore,False,,,
openedApp,1749108145.176161,6.0,whastapp,Asia/Singapore,False,breathingExercise,Search Info,
closedApp,1749108159.5818071,,whastapp,Asia/Singapore,False,,,
openedApp,1749108593.353671,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749108637.249146,,whastapp,Asia/Singapore,False,,,
openedApp,1749108652.9910731,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749112345.868156,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
closedApp,1749112374.9586859,,whastapp,Asia/Singapore,False,,,
closedApp,1749113030.164216,,whastapp,Asia/Singapore,False,,,
closedApp,1749113057.594815,,whastapp,Asia/Singapore,False,,,
closedApp,1749113078.602693,,whastapp,Asia/Singapore,False,,,
openedApp,1749113096.936207,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749115580.462084,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749115597.797398,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749116547.858079,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749116601.6241832,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749118994.686369,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749119492.430717,,whastapp,Asia/Singapore,False,,,
closedApp,1749120360.3452911,,whastapp,Asia/Singapore,False,,,
closedApp,1749123207.134076,,whastapp,Asia/Singapore,False,,,
openedApp,1749123292.027612,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749123581.3049722,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749123847.1058478,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749124136.526438,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749127790.279877,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749127854.167663,,whastapp,Asia/Singapore,False,,,
openedApp,1749127910.574671,6.0,outlook,Asia/Singapore,False,breathingExercise,Search Info,
dismissedAppOpening,1749127992.717154,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749128267.9090729,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749131078.9781442,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749131240.791623,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749131806.14926,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749133651.076439,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749133665.5623899,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749173665.598456,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749173802.257307,,whastapp,Asia/Singapore,False,,,
closedApp,1749173925.0910568,,whastapp,Asia/Singapore,False,,,
openedApp,1749175866.1473799,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
closedApp,1749175886.634923,,whastapp,Asia/Singapore,False,,,
openedApp,1749177967.165787,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749178058.864692,,whastapp,Asia/Singapore,False,,,
openedApp,1749178156.3292441,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749178191.667224,,whastapp,Asia/Singapore,False,,,
closedApp,1749181465.011267,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749182400.703522,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749185239.824535,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749185614.594562,,whastapp,Asia/Singapore,False,,,
closedApp,1749185665.830596,,whastapp,Asia/Singapore,False,,,
closedApp,1749186561.815717,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749186659.135278,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749186677.874456,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749186887.437026,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749187051.218689,6.0,whastapp,Asia/Singapore,False,breathingExercise,Bored,
closedApp,1749187089.627548,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749188626.293522,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749192216.6310282,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749192309.89715,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749193735.6111941,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749194140.532582,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749194163.04838,6.0,facebook,Asia/Singapore,False,breathingExercise,Search Info,
openedApp,1749196307.072243,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749196355.060267,,whastapp,Asia/Singapore,False,,,
closedApp,1749196562.278744,,whastapp,Asia/Singapore,False,,,
closedApp,1749196624.1795,,whastapp,Asia/Singapore,False,,,
closedApp,1749196945.8831239,,whastapp,Asia/Singapore,False,,,
openedApp,1749196982.586358,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749200123.7218819,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749200313.377242,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749200357.3629699,,whastapp,Asia/Singapore,False,,,
closedApp,1749200380.3396459,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749200870.0800319,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749201126.940381,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749201147.087988,,whastapp,Asia/Singapore,False,,,
closedApp,1749202650.5001779,,whastapp,Asia/Singapore,False,,,
closedApp,1749202845.166738,,whastapp,Asia/Singapore,False,,,
closedApp,1749202972.7739491,,whastapp,Asia/Singapore,False,,,
closedApp,1749202983.968446,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749203112.9148579,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749203416.726932,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749203469.249576,,whastapp,Asia/Singapore,False,,,
closedApp,1749203508.462574,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749203525.7585769,6.0,outlook,Asia/Singapore,False,breathingExercise,,
openedApp,1749204039.896402,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749204996.8053632,,whastapp,Asia/Singapore,False,,,
openedApp,1749206127.236352,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
openedApp,1749207004.407843,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749207098.6846771,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749210571.810647,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
closedApp,1749210630.8559752,,whastapp,Asia/Singapore,False,,,
closedApp,1749210741.2655768,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749210817.75282,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749210834.243863,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
openedApp,1749211942.3658972,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749212103.2857041,,whastapp,Asia/Singapore,False,,,
openedApp,1749213557.184301,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749216395.50544,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749216751.779982,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749259818.9445019,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749259925.1794438,,whastapp,Asia/Singapore,False,,,
closedApp,1749260653.999219,,whastapp,Asia/Singapore,False,,,
openedApp,1749264245.134805,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749269019.41591,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749269471.5391998,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749269492.456656,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749269793.502073,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749270518.617912,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749270596.614349,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749270780.7118511,6.0,instagram,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749270836.638807,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749275469.577146,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749276470.074339,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
closedApp,1749275496.005012,,whastapp,Asia/Singapore,False,,,
openedApp,1749291924.855492,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749291941.511663,,whastapp,Asia/Singapore,False,,,
closedApp,1749292056.1884089,,whastapp,Asia/Singapore,False,,,
closedApp,1749294017.8658729,,whastapp,Asia/Singapore,False,,,
openedApp,1749295407.8122392,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749300149.9200401,6.0,whastapp,Asia/Singapore,False,breathingExercise,Toilet,
closedApp,1749300483.3781462,,whastapp,Asia/Singapore,False,,,
closedApp,1749302181.9871979,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749304787.1384768,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749341583.9794831,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749341608.5223489,,whastapp,Asia/Singapore,False,,,
openedApp,1749346425.104272,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749346512.502849,,whastapp,Asia/Singapore,False,,,
openedApp,1749346607.963362,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749346621.208527,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749346734.194882,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749348558.114959,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749348630.913557,,whastapp,Asia/Singapore,False,,,
closedApp,1749349304.268209,,whastapp,Asia/Singapore,False,,,
openedApp,1749349401.498088,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749349458.83469,,whastapp,Asia/Singapore,False,,,
closedApp,1749349477.848288,,whastapp,Asia/Singapore,False,,,
closedApp,1749349496.839161,,whastapp,Asia/Singapore,False,,,
openedApp,1749349622.890329,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749349676.004843,,whastapp,Asia/Singapore,False,,,
closedApp,1749349838.98477,,whastapp,Asia/Singapore,False,,,
closedApp,1749349906.4272962,,whastapp,Asia/Singapore,False,,,
closedApp,1749349968.7311711,,whastapp,Asia/Singapore,False,,,
closedApp,1749350013.08808,,whastapp,Asia/Singapore,False,,,
closedApp,1749350289.26372,,whastapp,Asia/Singapore,False,,,
closedApp,1749351107.4575639,,whastapp,Asia/Singapore,False,,,
openedApp,1749353908.040714,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749353942.703763,,whastapp,Asia/Singapore,False,,,
closedApp,1749353974.3352342,,whastapp,Asia/Singapore,False,,,
openedApp,1749354680.700622,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749354771.1085339,,whastapp,Asia/Singapore,False,,,
openedApp,1749354860.858175,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749354878.2368321,6.0,instagram,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749355978.541785,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749356004.858846,,whastapp,Asia/Singapore,False,,,
openedApp,1749356081.6980019,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749360128.360049,6.0,facebook,Asia/Singapore,False,breathingExercise,Bored,
openedApp,1749360378.472136,6.0,outlook,Asia/Singapore,False,breathingExercise,Stay In the Loop,
openedApp,1749360934.6063461,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749360987.273683,,whastapp,Asia/Singapore,False,,,
closedApp,1749361016.456814,,whastapp,Asia/Singapore,False,,,
closedApp,1749361073.4083052,,whastapp,Asia/Singapore,False,,,
closedApp,1749361104.0286942,,whastapp,Asia/Singapore,False,,,
closedApp,1749361146.9535089,,whastapp,Asia/Singapore,False,,,
closedApp,1749361153.964951,,whastapp,Asia/Singapore,False,,,
openedApp,1749365024.466094,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749365083.283424,,whastapp,Asia/Singapore,False,,,
closedApp,1749365125.847849,,whastapp,Asia/Singapore,False,,,
openedApp,1749365267.7951999,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
dismissedAppOpening,1749366067.7985969,6.0,facebook,Asia/Singapore,False,breathingExercise,,
openedApp,1749367290.7049031,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749367323.630694,,whastapp,Asia/Singapore,False,,,
openedApp,1749368558.767762,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749368969.421095,,whastapp,Asia/Singapore,False,,,
closedApp,1749369094.7036839,,whastapp,Asia/Singapore,False,,,
closedApp,1749369354.0016341,,whastapp,Asia/Singapore,False,,,
closedApp,1749369472.3589392,,whastapp,Asia/Singapore,False,,,
closedApp,1749369672.548909,,whastapp,Asia/Singapore,False,,,
closedApp,1749369685.163548,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749369760.6034641,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749370604.7517939,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749370625.596067,,whastapp,Asia/Singapore,False,,,
closedApp,1749370679.916583,,whastapp,Asia/Singapore,False,,,
openedApp,1749371917.8460832,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749371990.39926,,whastapp,Asia/Singapore,False,,,
closedApp,1749372061.595591,,whastapp,Asia/Singapore,False,,,
dismissedAppOpening,1749373352.9000192,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749374111.737327,6.0,instagram,Asia/Singapore,False,breathingExercise,Toilet,
dismissedAppOpening,1749374488.936081,6.0,instagram,Asia/Singapore,False,breathingExercise,,
dismissedAppOpening,1749375087.684911,6.0,whastapp,Asia/Singapore,False,breathingExercise,,
openedApp,1749380375.191702,6.0,whastapp,Asia/Singapore,False,breathingExercise,Stay In the Loop,
closedApp,1749380437.813113,,whastapp,Asia/Singapore,False,,,
closedApp,1749384205.883755,,whastapp,Asia/Singapore,False,,,
openedApp,1749387335.241236,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749387411.579807,,whastapp,Asia/Singapore,False,,,
openedApp,1749389479.0090199,6.0,whastapp,Asia/Singapore,False,breathingExercise,Message,
closedApp,1749389561.002213,,whastapp,Asia/Singapore,False,,,
closedApp,1749389577.672861,,whastapp,Asia/Singapore,False,,,
closedApp,1749389633.4858909,,whastapp,Asia/Singapore,False,,,
closedApp,1749389674.493237,,whastapp,Asia/Singapore,False,,,
closedApp,1749389781.777386,,whastapp,Asia/Singapore,False,,,
closedApp,1749390031.5846229,,whastapp,Asia/Singapore,False,,,
closedApp,1749390153.6368752,,whastapp,Asia/Singapore,False,,,
