app,timezone,timestamp,interventionDuration,interventionType,resolution,isReIntervention
instagram,Europe/Berlin,1748960041.739207,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748960064.458549,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748960355.827304,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748960467.986226,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748961341.760425,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748961356.136994,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748962921.982939,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748964336.1194758,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748965693.9182749,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748965943.7857661,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748966050.336718,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748967114.8596802,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748967118.10765,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748967141.7222672,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748967833.1258368,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748971950.916919,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748973595.7776508,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748973611.521964,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748973754.251606,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748973948.8262339,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748974205.066062,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748974222.8584661,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748977289.370023,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748978908.921828,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748978955.901085,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748980105.16203,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1748980880.382887,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748980884.6848578,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1748980932.1406698,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749013719.562109,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749015293.906505,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749015589.828281,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749030902.2428122,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749032879.1538482,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749032908.359923,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749035638.5302548,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749039246.545628,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749040692.970707,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749040711.5856152,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749041515.7466931,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749041660.194634,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749042391.85993,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749059492.845749,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749063915.8970351,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749065142.636697,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749065583.558156,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749069190.763719,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749100289.7251348,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749101221.3544931,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749101834.165845,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749108693.448604,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749108731.360046,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749117668.068147,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749117876.57127,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749119610.287818,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749119883.678252,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749121212.889622,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749124265.611206,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749124701.639292,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749125018.009274,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749125033.967917,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749125757.125022,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749125776.0205588,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749126344.963745,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749126415.9066281,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749126422.342356,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749127271.957649,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749127371.1145492,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749127426.836516,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749127831.55105,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749127893.964912,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749127899.964906,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749128024.032398,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749128251.8658729,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749128708.966838,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749131810.5118852,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749132946.35073,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749133940.4001222,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749134059.507024,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749137662.3516278,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749139498.7467709,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749140397.2591062,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749140399.612086,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749140445.192554,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749140499.248736,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749141674.843123,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749143835.667976,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749143859.5636601,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749143956.830607,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749145797.788219,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749146309.6302629,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749151434.115823,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749151463.513187,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749151664.473438,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749194220.134894,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749205079.370014,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749205378.5126472,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749205438.925076,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749205444.752312,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749208247.170251,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749208359.109834,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749208374.2087789,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749209603.984377,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749209638.095416,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749209785.4851542,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749214755.123482,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749215936.286823,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749216252.4569268,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749216795.22569,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749217369.219448,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749218803.078394,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749218932.4866939,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749227483.3875399,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749229306.363239,6,breathingExercise,openedApp,False
instagram,Europe/Berlin,1749229558.482394,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749230988.3175511,6,breathingExercise,dismissedAppOpening,False
instagram,Europe/Berlin,1749231005.275532,6,breathingExercise,dismissedAppOpening,False
