timezone,app,resolution,isReIntervention,timestamp,interventionDuration,interventionType
America/Phoenix,instagram,openedApp,False,1750691852.055194,,
America/Phoenix,instagram,closedApp,False,1750692452.055194,,
America/Phoenix,instagram,dismissedAppOpening,False,1750692452.055194,,
America/Phoenix,instagram,openedApp,False,1750692479.227374,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750737297.403288,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750740312.260788,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750812181.1993198,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750857195.042314,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750862039.4117432,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750882222.726629,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750888615.944473,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750889076.449963,,
America/Phoenix,instagram,closedApp,False,1750889676.449963,,
America/Phoenix,instagram,dismissedAppOpening,False,1750889676.449963,,
America/Phoenix,instagram,openedApp,False,1750949755.522691,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1750999085.398427,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751036336.621413,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751045012.467949,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751048942.7918591,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751057848.088126,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751059110.4933949,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751074496.867852,,
America/Phoenix,instagram,closedApp,False,1751075096.867852,,
America/Phoenix,instagram,dismissedAppOpening,False,1751075096.867852,,
America/Phoenix,instagram,openedApp,False,1751075120.781726,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751119823.2328181,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751142473.4108949,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751145055.936771,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751162126.269434,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751163026.7239861,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751213996.9547691,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751237443.3611112,6.0,breathingExercise
America/Phoenix,instagram,openedApp,False,1751250973.809294,,
America/Phoenix,instagram,closedApp,False,1751251573.809294,,
America/Phoenix,instagram,dismissedAppOpening,False,1751251573.809294,,
America/Phoenix,instagram,openedApp,False,1751257062.066286,6.0,breathingExercise
