timestamp,timezone,interventionType,resolution,interventionDuration,app,isReIntervention
1748992788.403996,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749014326.036377,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749014341.7840939,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749018471.000268,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749018692.420253,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749018906.03862,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749018942.895484,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749019523.8326821,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749027597.233336,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749032827.0896292,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749036668.569202,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749036792.4772139,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749038373.10428,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749038750.735796,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749040974.8889642,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749040996.258253,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749045977.28583,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749046003.656896,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749046011.54675,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749046156.918405,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749046402.836526,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749046450.9859219,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749046483.576325,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749046872.066174,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749047426.290734,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749047681.945272,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749047789.322254,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749047793.462755,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749047834.237033,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749048138.404145,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749048172.970449,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749048393.791943,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749048953.053337,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749049156.113593,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749050686.741489,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
1749050730.955266,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749051275.7492728,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749051370.055459,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749051526.417192,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749053024.649306,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749053393.051853,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749054038.1150122,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749059203.910353,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749059935.4259171,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749060788.081588,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749060957.7436562,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749063382.947229,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749063929.786655,Europe/Paris,breathingExercise,openedApp,6,instagram,False
1749064853.744172,Europe/Paris,breathingExercise,dismissedAppOpening,6,instagram,False
