timezone,app,interventionType,resolution,timestamp,isReIntervention,interventionDuration
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751863125.3551068,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751863142.3938742,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751863156.2489061,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751863158.335316,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751863192.416524,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751901822.6179528,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751901846.1938791,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751932770.775611,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751932785.756686,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751932832.563538,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751933356.040462,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751945657.134615,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751945804.715376,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751945837.59834,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751945972.667701,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751945977.509928,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751945981.329585,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751945985.483766,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751949457.210222,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751951243.552168,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751951450.0416331,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751986491.508346,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751986507.1676378,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1751988200.609951,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1751988220.773257,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1752017853.7612329,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752018773.23191,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752020885.02529,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752020932.542916,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1752020982.3238401,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752021037.510867,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752021043.419833,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1752021462.688488,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752021977.266792,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1752022214.8613691,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752023230.757096,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752034786.457252,False,6
America/Vancouver,instagram,breathingExercise,openedApp,1752074458.7621222,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752121090.680983,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752192187.590444,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752200043.628577,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752273521.533008,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752273570.2400842,False,6
America/Vancouver,instagram,breathingExercise,dismissedAppOpening,1752273572.9935498,False,6
