timezone,interventionType,resolution,timestamp,app,isReIntervention,interventionDuration
Africa/Cairo,breathingExercise,openedApp,1752627240.572778,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752627368.646947,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752627774.258815,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752627781.799861,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752627883.076689,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752628922.186362,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752629820.243661,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752629826.33365,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752630225.944442,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752630229.525424,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752660467.303236,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752660566.286364,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752660575.846297,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752660914.180485,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752661116.318225,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752663150.892311,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752664032.220267,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752664271.661799,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752665060.7226992,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752665898.416497,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752679127.349298,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752688075.592095,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752688151.5385242,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752696710.812347,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752697674.8982549,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752698630.3357801,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752698636.577506,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752699191.093147,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752699300.038248,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752699309.9686952,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752703444.4180222,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752704427.8381639,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752704577.0756469,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752704587.502939,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752705507.205796,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752708493.663249,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752708560.51011,instagram,False,1.5
