interventionType,timezone,timestamp,interventionDuration,purpose,resolution,isReIntervention,app
breathingExercise,Europe/Warsaw,1750356507.27036,1.5,Stay In the Loop,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750356548.268765,1.5,Stay In the Loop,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750358602.324312,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750358609.385539,1.5,,dismissedAppOpening,False,youtube
,Europe/Warsaw,1750369832.429208,,,closedApp,False,instagram
,Europe/Warsaw,1750369884.033978,,,closedApp,False,instagram
,Europe/Warsaw,1750370353.4347692,,,closedApp,False,instagram
,Europe/Warsaw,1750371040.552849,,,closedApp,False,instagram
,Europe/Warsaw,1750371120.097478,,,closedApp,False,instagram
,Europe/Warsaw,1750371429.356132,,,closedApp,False,instagram
,Europe/Warsaw,1750371823.2362099,,,closedApp,False,instagram
,Europe/Warsaw,1750372458.160012,,,closedApp,False,instagram
,Europe/Warsaw,1750373232.8463612,,,closedApp,False,instagram
,Europe/Warsaw,1750373491.4665241,,,closedApp,False,instagram
,Europe/Warsaw,1750373839.431189,,,closedApp,False,instagram
journaling,Europe/Warsaw,1750403129.292574,,,dismissedAppOpening,False,instagram
journaling,Europe/Warsaw,1750403470.572551,,,dismissedAppOpening,False,youtube
journaling,Europe/Warsaw,1750403482.7380571,,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750403508.4655008,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750403712.440732,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750403828.179137,1.5,Escape / Avoid,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750406103.161714,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750406356.62543,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750411814.463355,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750412675.688457,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750412698.645227,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750414460.073729,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750420922.582681,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750423565.275486,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750427613.3472629,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750427808.7451658,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750427826.672348,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750428248.422703,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750436415.168505,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750439629.477701,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750449213.406694,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750449291.487567,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750452795.923571,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750452803.3570929,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750453955.130972,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750454110.73036,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750455198.5046558,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750455466.759299,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750455547.809582,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750455565.529578,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750455675.93771,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750455914.5320091,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750455928.7083921,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750490961.785332,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750491562.6984239,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750491648.9619489,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750491774.6861439,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750492241.778863,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750492603.0444741,1.5,,dismissedAppOpening,False,youtube
,Europe/Warsaw,1750492747.4203172,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750492751.527781,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750497313.257442,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750498323.292747,,,closedApp,False,instagram
,Europe/Warsaw,1750499032.5131989,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750499404.5388231,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750499482.473598,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750500096.5918179,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750500258.928172,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750506710.13771,1.5,Relax,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750506862.904529,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750512940.260795,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750512959.028726,,,closedApp,False,instagram
,Europe/Warsaw,1750513489.47913,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750513612.696729,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750520098.1979752,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750521685.5339441,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750522114.148787,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750522338.718687,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750522369.551715,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750522498.6823359,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750522535.6094198,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750522639.706445,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750522688.8105211,,,closedApp,False,instagram
,Europe/Warsaw,1750522805.503885,,,closedApp,False,instagram
,Europe/Warsaw,1750522844.513212,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750523200.13854,1.5,Escape / Avoid,openedApp,False,instagram
,Europe/Warsaw,1750523269.179441,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750523387.2895432,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750523554.069174,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750525256.341282,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750525266.288898,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750525283.7335482,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750525375.993586,,,closedApp,False,instagram
,Europe/Warsaw,1750525480.501559,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750525801.951905,1.5,Message,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750528031.6049051,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750526021.759167,,,closedApp,False,instagram
,Europe/Warsaw,1750526281.234082,,,closedApp,False,instagram
,Europe/Warsaw,1750528102.494812,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750528934.1104798,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750528941.10116,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750532149.657295,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750533767.09487,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750533782.925222,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750534222.397568,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750535468.328374,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750535518.269837,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750536948.8737888,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750538914.300199,1.5,Relax,openedApp,False,instagram
,Europe/Warsaw,1750538821.534194,,,closedApp,False,instagram
,Europe/Warsaw,1750540580.509311,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750582108.431079,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750582473.1399488,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750583538.1737108,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750584649.254379,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750582977.1211262,,,closedApp,False,instagram
,Europe/Warsaw,1750583051.983858,,,closedApp,False,instagram
,Europe/Warsaw,1750583671.399888,,,closedApp,False,instagram
,Europe/Warsaw,1750584889.7121382,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750584976.473661,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750585740.5215,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750587331.985962,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750587417.5637522,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750588275.365497,,,closedApp,False,instagram
,Europe/Warsaw,1750588500.7103128,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750588596.5710912,1.5,,dismissedAppOpening,False,instagram
