interventionType,timestamp,isReIntervention,timezone,interventionDuration,resolution,app,purpose
breathingExercise,1751404019.898065,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751415823.5389519,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751416138.450786,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751423285.760449,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751467127.087792,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751478389.6691198,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751482154.759972,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751483185.112767,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751484043.1486092,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751484618.083066,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751485439.639714,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751485446.325211,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751504153.399815,False,America/Bogota,1.5,openedApp,instagram,Buscar info
breathingExercise,1751524204.819213,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751545732.069086,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751545773.7818809,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751551902.960122,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751552003.831696,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751552019.068345,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751553627.5788078,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751561501.531838,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751563845.942317,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751563858.3859448,False,America/Bogota,1.5,openedApp,instagram,Buscar info
breathingExercise,1751578364.530767,False,America/Bogota,1.5,openedApp,instagram,Entretenimiento
breathingExercise,1751578832.983938,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751578835.995502,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751584436.8074741,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751592542.063005,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751594790.639512,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751600244.747288,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751607579.020582,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751632720.046099,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751633011.8298979,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751633023.036518,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751633722.2055779,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751635998.027178,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751654002.5229402,False,America/Bogota,1.5,dismissedAppOpening,instagram,
breathingExercise,1751654009.2224178,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751655414.8200479,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751658294.5501308,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751658372.387854,False,America/Bogota,1.5,dismissedAppOpening,facebook,
breathingExercise,1751664277.00478,False,America/Bogota,1.5,openedApp,instagram,Mensaje
breathingExercise,1751666216.044518,False,America/Bogota,1.5,dismissedAppOpening,tikTok,
breathingExercise,1751667174.6335912,False,America/Bogota,1.5,openedApp,instagram,Mantente Informado
breathingExercise,1751667737.1825109,False,America/Bogota,1.5,openedApp,tikTok,Buscar info
breathingExercise,1751677367.650779,False,America/Bogota,1.5,openedApp,instagram,Mensaje
