timezone,interventionDuration,interventionType,app,isReIntervention,resolution,timestamp,purpose,timeIntervalUntilReIntervention
America/New_York,1.5,breathingExercise,tumblr,False,dismissedAppOpening,1750335721.082789,,
America/New_York,1.5,breathingExercise,youtube,False,dismissedAppOpening,1750335986.645673,,
America/New_York,1.5,breathingExercise,tumblr,False,dismissedAppOpening,1750336517.322034,,
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750336642.602135,Check likes,120.0
America/New_York,1.5,breathingExercise,instagram,True,openedApp,1750336791.46529,Bored,300.0
America/New_York,1.5,breathingExercise,instagram,False,dismissedAppOpening,1750338821.36639,,
America/New_York,1.5,breathingExercise,instagram,False,dismissedAppOpening,1750338823.9582338,,
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750338842.584096,Bored,180.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750338951.371299,Bored,180.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750339085.985652,Bored,180.0
America/New_York,1.5,breathingExercise,tumblr,False,openedApp,1750382682.606878,Stay In the Loop,
America/New_York,1.5,breathingExercise,tumblr,False,openedApp,1750382906.85425,Entertainment,
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750383136.867692,Stay In the Loop,240.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750383401.375636,Stay In the Loop,180.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750383634.738508,Entertainment,480.0
America/New_York,1.5,breathingExercise,tumblr,False,openedApp,1750424376.885479,Stay In the Loop,
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750424678.799221,Stay In the Loop,360.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750445320.303853,Search Info,300.0
America/New_York,1.5,breathingExercise,instagram,False,dismissedAppOpening,1750445647.86496,,
America/New_York,1.5,breathingExercise,youtube,False,openedApp,1750445697.603404,Bored,
America/New_York,,,youtube,False,closedApp,1750445774.50824,,
America/New_York,,,youtube,False,closedApp,1750446702.064956,,
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750465597.578435,Entertainment,300.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750465929.024374,Entertainment,900.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750466049.4924011,Entertainment,900.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750466970.3004189,Entertainment,1200.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750467566.468641,Entertainment,1200.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750468790.3800058,Entertainment,1200.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750469520.6045408,Entertainment,1200.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750470801.240263,Entertainment,180.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750474519.9886498,Bored,2400.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750476939.455678,Entertainment,1200.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750478391.8769078,Entertainment,600.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750479026.166038,Bored,900.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750479046.616486,Entertainment,1200.0
America/New_York,1.5,breathingExercise,instagram,False,dismissedAppOpening,1750479357.081191,,
America/New_York,1.5,breathingExercise,instagram,False,dismissedAppOpening,1750479362.0436459,,
America/New_York,1.5,breathingExercise,instagram,False,dismissedAppOpening,1750516976.9456902,,
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750520404.219769,Entertainment,540.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750520443.711657,Entertainment,600.0
America/New_York,1.5,breathingExercise,youtube,False,openedApp,1750525721.41226,Search Info,
America/New_York,,,youtube,False,closedApp,1750526186.727581,,
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750526358.7907119,Entertainment,300.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750526678.162878,Entertainment,600.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750528693.3026881,Entertainment,180.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750532779.516807,Search Info,2220.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750538865.8298202,Bored,600.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750539482.423818,Entertainment,600.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750540108.987253,Relax,480.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750540614.64079,Entertainment,660.0
America/New_York,1.5,breathingExercise,instagram,False,openedApp,1750540663.863956,Entertainment,660.0
America/New_York,1.5,breathingExercise,instagram,True,openedApp,1750541352.2243981,Escape / Avoid,1260.0
