app,timestamp,interventionDuration,timezone,interventionType,isReIntervention,resolution,purpose,timeIntervalUntilReIntervention
instagram,1753106638.112862,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,
instagram,1753106744.715125,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,
instagram,1753107625.480232,1.5,Europe/Moscow,breathingExercise,False,dismissedAppOpening,,
instagram,1753107654.338921,1.5,Europe/Moscow,breathingExercise,False,dismissedAppOpening,,
instagram,1753107764.1060948,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,600.0
instagram,1753125861.080274,1.5,Europe/Moscow,breathingExercise,False,openedApp,Entertainment,600.0
instagram,1753125967.8387399,,Europe/Moscow,,False,closedApp,,
instagram,1753138094.0395331,,Europe/Moscow,,False,closedApp,,
instagram,1753164574.193697,1.5,Europe/Moscow,breathingExercise,False,openedApp,Entertainment,600.0
instagram,1753164880.830198,,Europe/Moscow,,False,closedApp,,
instagram,1753165103.563558,,Europe/Moscow,,False,closedApp,,
instagram,1753166033.5289469,1.5,Europe/Moscow,breathingExercise,False,openedApp,Entertainment,600.0
instagram,1753166640.5743232,,Europe/Moscow,,False,closedApp,,
instagram,1753166651.207286,1.5,Europe/Moscow,breathingExercise,True,openedApp,Post something,600.0
instagram,1753166811.651287,,Europe/Moscow,,False,closedApp,,
instagram,1753166895.296531,,Europe/Moscow,,False,closedApp,,
instagram,1753170645.000741,1.5,Europe/Moscow,breathingExercise,False,openedApp,Search Info,600.0
instagram,1753170659.7185621,,Europe/Moscow,,False,closedApp,,
instagram,1753183009.794623,1.5,Europe/Moscow,breathingExercise,False,openedApp,Search Info,600.0
instagram,1753183314.356118,,Europe/Moscow,,False,closedApp,,
instagram,1753191066.726835,1.5,Europe/Moscow,breathingExercise,False,openedApp,Search Info,600.0
instagram,1753191083.640932,,Europe/Moscow,,False,closedApp,,
instagram,1753198327.553094,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,600.0
instagram,1753198620.632458,,Europe/Moscow,,False,closedApp,,
instagram,1753205612.7815552,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,600.0
instagram,1753206218.897794,,Europe/Moscow,,False,closedApp,,
instagram,1753243435.243411,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,600.0
instagram,1753243564.246908,,Europe/Moscow,,False,closedApp,,
instagram,1753255709.408608,1.5,Europe/Moscow,breathingExercise,False,openedApp,Search Info,600.0
instagram,1753255830.21172,,Europe/Moscow,,False,closedApp,,
instagram,1753277387.380035,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,600.0
instagram,1753295471.8323898,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,600.0
instagram,1753277479.494921,,Europe/Moscow,,False,closedApp,,
instagram,1753295649.241739,,Europe/Moscow,,False,closedApp,,
instagram,1753296039.4378738,,Europe/Moscow,,False,closedApp,,
instagram,1753299127.923619,1.5,Europe/Moscow,breathingExercise,False,openedApp,Bored,600.0
