isReIntervention,app,timezone,resolution,timestamp,interventionDuration,interventionType,terminationReason
0.0,instagram,Europe/Luxembourg,openedApp,1750909819.388945,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,dismissedAppOpening,1750910061.242913,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,dismissedAppOpening,1750947506.6804051,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,dismissedAppOpening,1750953488.935544,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1750953747.476973,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1750954201.9936872,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,dismissedAppOpening,1750970314.824041,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1750970530.907135,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1750995306.997957,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,dismissedAppOpening,1750996320.167172,1.5,breathingExercise,
0.0,instagram,Europe/Brussels,openedApp,1751019739.634249,1.5,breathingExercise,
0.0,instagram,Europe/Brussels,openedApp,1751020185.241342,1.5,breathingExercise,
0.0,instagram,Europe/Brussels,dismissedAppOpening,1751021176.108552,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751029529.6736841,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751055846.143592,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751056014.883761,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751089181.892389,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751095973.729131,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,dismissedAppOpening,1751122306.900334,,journaling,
0.0,instagram,Europe/Warsaw,openedApp,1751130424.560585,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751131130.752384,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751131833.761121,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751132221.622097,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751134608.8244061,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751134819.991056,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751138396.116098,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751140707.506402,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,dismissedAppOpening,1751140951.716032,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751140995.4028878,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,dismissedAppOpening,1751141090.8854961,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751184258.387557,1.5,breathingExercise,
0.0,instagram,Europe/Warsaw,openedApp,1751191554.160709,1.5,breathingExercise,
0.0,instagram,Europe/Brussels,openedApp,1751206530.927434,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1751213648.5464811,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1751226180.376127,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1751253275.4673,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1751254124.622137,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1751258250.185081,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1751275132.644679,1.5,breathingExercise,
0.0,instagram,Europe/Luxembourg,openedApp,1751302958.747713,1.5,breathingExercise,
,,,,1751305147.26152,,,terminatedByUser
