isReIntervention,interventionDuration,timestamp,resolution,timezone,app,interventionType
False,1.5,1753316433.6744962,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753317667.453296,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753318995.2495198,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753320467.3995972,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753320715.9916391,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753322763.964704,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753332359.3786001,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753332772.800559,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753333017.889631,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753333189.5297499,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753333237.646424,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753333781.285828,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753333907.448183,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753333931.52942,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753334353.534985,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753334879.299191,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753335402.612519,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753335426.093309,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753336385.5236778,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753336534.3731232,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753338536.4167008,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753338873.388571,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753339970.1534019,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753340200.346344,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753341457.2562032,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753343339.282584,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753344382.248961,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753345688.527724,dismissedAppOpening,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753345796.857547,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753348422.6413798,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753352410.5511808,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753352523.30134,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753353369.6150389,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753354462.9162169,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753355091.834681,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753372192.521298,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753372890.547653,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753373185.951169,openedApp,America/Los_Angeles,instagram,breathingExercise
False,1.5,1753377933.199204,openedApp,America/Los_Angeles,instagram,breathingExercise
