interventionDuration,timezone,timestamp,resolution,timeIntervalUntilReIntervention,isReIntervention,app,interventionType
1.5,America/St_Johns,1748915517.032452,openedApp,900.0,False,youtube,breathingExercise
1.5,America/St_Johns,1748916224.700937,openedApp,900.0,False,youtube,breathingExercise
1.5,America/St_Johns,1748916996.436555,openedApp,240.0,False,youtube,breathingExercise
1.5,America/St_Johns,1748917363.424738,openedApp,540.0,False,youtube,breathingExercise
,America/St_Johns,1748917479.23752,closedApp,,False,youtube,
,America/St_Johns,1748917533.109957,closedApp,,False,youtube,
1.5,America/St_Johns,1748917759.9786968,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1748917843.38901,closedApp,,False,youtube,
,America/St_Johns,1748918030.943966,closedApp,,False,youtube,
,America/St_Johns,1748918195.402031,closedApp,,False,youtube,
,America/St_Johns,1748918300.943335,closedApp,,False,youtube,
1.5,America/St_Johns,1748954751.8053489,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1748954772.88697,closedApp,,False,youtube,
,America/St_Johns,1748954871.26404,closedApp,,False,youtube,
1.5,America/St_Johns,1748958923.304902,openedApp,540.0,False,youtube,breathingExercise
1.5,America/St_Johns,1748973650.7674088,openedApp,300.0,False,youtube,breathingExercise
,America/St_Johns,1748973678.498965,closedApp,,False,youtube,
1.5,America/St_Johns,1748974302.596869,openedApp,480.0,False,youtube,breathingExercise
,America/St_Johns,1748974635.590066,closedApp,,False,youtube,
1.5,America/St_Johns,1748974834.485812,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1748974840.316832,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1748974856.139272,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1748974950.5471358,closedApp,,False,youtube,
,America/St_Johns,1748974969.954207,closedApp,,False,youtube,
,America/St_Johns,1748975232.925658,closedApp,,False,youtube,
,America/St_Johns,1748975292.7540789,closedApp,,False,youtube,
1.5,America/St_Johns,1748976112.831296,openedApp,900.0,False,youtube,breathingExercise
1.5,America/St_Johns,1748977641.878268,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1748977705.0676079,openedApp,480.0,False,youtube,breathingExercise
,America/St_Johns,1748977872.870109,closedApp,,False,youtube,
,America/St_Johns,1748978177.9992862,closedApp,,False,youtube,
1.5,America/St_Johns,1748985949.443766,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1748998301.3883271,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749000436.755362,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749000743.8658109,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749000807.42889,dismissedAppOpening,,False,youtube,breathingExercise
,America/St_Johns,1749000817.102556,closedApp,,False,youtube,
1.5,America/St_Johns,1749002009.166782,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749003065.769994,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1749003095.057317,closedApp,,False,youtube,
1.5,America/St_Johns,1749005742.105006,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1749005791.371254,closedApp,,False,youtube,
,America/St_Johns,1749005862.956574,closedApp,,False,youtube,
,America/St_Johns,1749005957.174336,closedApp,,False,youtube,
