isReIntervention,interventionDuration,app,interventionType,timestamp,resolution,timezone
False,1.5,instagram,breathingExercise,1750921393.905443,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750922816.159389,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750922924.931943,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750923873.2823892,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750926679.828193,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750926689.580023,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750927384.067669,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750939888.801207,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750940992.970161,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750941182.212379,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750941664.176886,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750951693.869635,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750953279.0860581,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750953695.5988579,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750953839.0803099,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750955897.024059,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750958142.637382,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750959383.097008,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750984648.06277,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750988870.899657,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1750993237.526022,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751000301.681028,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751000404.7910771,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751010449.072136,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751011268.332159,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751023091.8891358,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751035195.280859,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751036842.2339358,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751043866.420186,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751051386.5775719,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751075034.114811,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751075593.735043,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751085742.2974849,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751097846.077608,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751098328.2848392,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751099400.937976,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751105601.980678,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751108374.011029,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751108663.8908548,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751109106.0469198,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751110376.893221,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751110603.455542,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751110702.412445,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751111442.032423,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751111450.8239,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751112105.493145,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751115949.9329228,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751117540.2506251,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751117569.551157,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751118004.3933349,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751119959.130488,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751120164.112823,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751120174.271699,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751125183.1566238,openedApp,Asia/Kolkata
