interventionType,resolution,timestamp,timezone,interventionDuration,app,isReIntervention
breathingExercise,openedApp,1750222031.832303,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750228127.070766,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750228661.714813,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750233201.926698,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750245960.293795,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750314909.403607,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750315187.128769,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750318771.9308228,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750322066.6719651,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750332483.763822,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750343349.630533,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750344360.979533,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750344712.564431,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750393386.8514628,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750394144.7187262,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750394931.7116609,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750398953.192487,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750400879.074854,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750412834.373316,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750421335.758913,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750423190.88888,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750440720.037039,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750442257.192744,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750443647.341089,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750486614.262711,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750486658.954334,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750487656.432321,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750488168.344386,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750488318.177876,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750532545.1028628,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750533091.717812,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750571068.035439,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750616089.3709478,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750652203.862718,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750658144.421068,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750658462.987939,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750658962.354669,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750660572.055999,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750664367.853231,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750664391.360849,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750673530.097783,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750673663.471058,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750673863.6521258,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750693967.2215471,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750694548.878169,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750766227.4461079,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750785243.79275,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750785550.900192,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750785687.6410651,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750789339.2147279,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750796356.7826672,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750829912.914052,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750838463.145014,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750840357.035987,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750871758.755542,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750871774.698345,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750871782.9515018,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750912443.884801,Europe/London,1.5,tikTok,False
breathingExercise,dismissedAppOpening,1750913100.560261,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750915490.669764,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750918271.1752992,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750948383.6041179,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750949088.408747,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750949297.870775,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750962453.221943,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1750963392.476928,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1751005407.475815,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1751005676.604949,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1751007075.205775,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1751007441.527938,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1751019366.325845,Europe/London,1.5,tikTok,False
breathingExercise,openedApp,1751019393.102759,Europe/London,1.5,tikTok,False
