app,interventionDuration,timestamp,timezone,resolution,isReIntervention,interventionType,timeIntervalUntilReIntervention
instagram,1.5,1753037967.840791,Europe/Berlin,openedApp,False,breathingExercise,
instagram,,1753038426.782467,Europe/Berlin,closedApp,False,,
instagram,,1753038496.922583,Europe/Berlin,closedApp,False,,
instagram,,1753038589.829462,Europe/Berlin,closedApp,False,,
instagram,,1753039289.659227,Europe/Berlin,closedApp,False,,
instagram,,1753039461.004208,Europe/Berlin,closedApp,False,,
instagram,,1753039572.183577,Europe/Berlin,closedApp,False,,
instagram,,1753044867.618161,Europe/Berlin,closedApp,False,,
instagram,,1753044899.689131,Europe/Berlin,closedApp,False,,
instagram,,1753044917.304724,Europe/Berlin,closedApp,False,,
instagram,1.5,1753044943.8723102,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753045012.8352408,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753050907.674845,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753051149.661063,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753051151.9490771,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753053867.625567,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753053882.610153,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753091399.918579,Europe/Berlin,openedApp,False,breathingExercise,60.0
instagram,1.5,1753091469.532985,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753091481.043487,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753091794.016642,Europe/Berlin,openedApp,True,breathingExercise,120.0
instagram,1.5,1753091913.1844869,Europe/Berlin,dismissedAppOpening,True,breathingExercise,
instagram,1.5,1753092044.613936,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753092358.779233,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753093466.46869,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753093541.5165691,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753093549.851979,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753093740.1850262,Europe/Berlin,openedApp,True,breathingExercise,180.0
instagram,1.5,1753106416.25386,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753106661.415666,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753107270.951693,Europe/Berlin,openedApp,True,breathingExercise,600.0
instagram,1.5,1753108564.945232,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753108574.759197,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753111442.234577,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753111585.059147,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753111587.403491,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753113139.1200562,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753113767.026723,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753124566.304267,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753127486.606277,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753129688.845139,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753130990.0824242,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753134328.904251,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753134647.547375,Europe/Berlin,openedApp,True,breathingExercise,600.0
instagram,1.5,1753161809.63843,Europe/Berlin,openedApp,False,breathingExercise,60.0
instagram,1.5,1753161923.509268,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753162741.209373,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753165534.720475,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753165694.698019,Europe/Berlin,openedApp,False,breathingExercise,120.0
instagram,1.5,1753165724.98418,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753165733.404591,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753171801.359411,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753178769.246098,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753178802.522382,Europe/Berlin,openedApp,False,breathingExercise,240.0
instagram,1.5,1753179031.1890001,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753179055.410913,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753185175.1327991,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753185296.596569,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753185312.049314,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753185350.180373,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753186392.214559,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753190247.411438,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753191248.247408,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753191340.234169,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753191359.36501,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753191607.156701,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753192102.128027,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753192668.3832378,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753194791.9560618,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753196621.4705338,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753196867.9956021,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753196881.829932,Europe/Berlin,openedApp,False,breathingExercise,240.0
instagram,1.5,1753196917.910925,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753197023.580348,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753200341.117343,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753200356.491992,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753200387.640304,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753200433.1668348,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753200500.575556,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753201185.347499,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753201210.841613,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753201213.8659348,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753201227.737992,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753203244.63105,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753203598.903963,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753203602.6060948,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753203603.939869,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753205835.392226,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753206107.841446,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753206128.5823278,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753206399.398309,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753206431.489856,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753207394.848493,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753207447.384609,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753207471.85954,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753208193.409192,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753208256.9321718,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753208395.709903,Europe/Berlin,openedApp,False,breathingExercise,120.0
instagram,1.5,1753211733.859254,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753212606.7086248,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753213883.946615,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753215033.921428,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753248374.367315,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753248677.502967,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753248951.842526,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753249981.219996,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753253372.6287599,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753256856.708962,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753257873.873908,Europe/Berlin,openedApp,False,breathingExercise,240.0
instagram,1.5,1753266766.2341042,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753275487.460778,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753275834.302593,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753276001.709539,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753277054.8377519,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753277311.090565,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753277373.1092958,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,,1753277910.638921,Europe/Berlin,closedApp,False,,
instagram,,1753279092.55429,Europe/Berlin,closedApp,False,,
instagram,1.5,1753279152.302116,Europe/Berlin,openedApp,False,breathingExercise,540.0
instagram,,1753279282.614304,Europe/Berlin,closedApp,False,,
instagram,1.5,1753283141.963753,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,1.5,1753285373.0749211,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,,1753285496.6973639,Europe/Berlin,closedApp,False,,
instagram,1.5,1753285507.299916,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753285520.113474,Europe/Berlin,openedApp,False,breathingExercise,600.0
instagram,,1753285645.996396,Europe/Berlin,closedApp,False,,
instagram,1.5,1753289553.25955,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753289563.412374,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,1.5,1753289575.009472,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
instagram,1.5,1753289637.31032,Europe/Berlin,openedApp,False,breathingExercise,360.0
instagram,1.5,1753294427.042066,Europe/Berlin,openedApp,False,breathingExercise,300.0
instagram,,1753294532.871506,Europe/Berlin,closedApp,False,,
instagram,1.5,1753294612.548092,Europe/Berlin,openedApp,False,breathingExercise,180.0
instagram,1.5,1753294659.9312,Europe/Berlin,dismissedAppOpening,False,breathingExercise,
