interventionDuration,timezone,resolution,isReIntervention,app,interventionType,timestamp
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753056379.682647
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753056397.029989
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753058803.242107
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753063242.340715
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753063395.263444
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753064954.6770182
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753065453.2737179
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753067910.344468
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753068197.7915359
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753088945.99691
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753088988.431686
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753090404.224833
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753094096.800333
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753094105.785569
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753098782.019216
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753105128.632246
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753105138.316663
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753105337.524759
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753109374.193316
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753109380.673489
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753110157.9921942
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753140658.257619
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753141669.4758558
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753144199.70254
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753164887.6291509
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753172508.7650251
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753174811.30773
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753182912.005799
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753187818.755455
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753188971.285893
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753190011.864156
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753193508.6848059
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753193796.429496
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753195250.975589
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753224129.7986379
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753236283.5742621
1.5,Asia/Kuala_Lumpur,dismissedAppOpening,False,instagram,breathingExercise,1753246077.3718472
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753266111.976234
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753268879.5660372
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753280997.847784
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753281669.486188
1.5,Asia/Kuala_Lumpur,openedApp,False,instagram,breathingExercise,1753311095.1438
