resolution,timezone,interventionType,timestamp,app,interventionDuration,isReIntervention
openedApp,Europe/Berlin,breathingExercise,1749454888.00005,tikTok,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749455679.678683,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749458285.349987,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749458825.53761,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749459541.8059778,tikTok,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749466914.661765,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749488357.019291,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749493283.999357,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749493341.352428,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749493857.648632,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749495270.755125,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749505624.2863789,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749544431.864903,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749547199.778266,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749551309.335022,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749558665.5262609,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749591062.040014,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749591212.435614,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749591599.149461,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749596268.695311,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749626029.876316,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749639067.727464,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749641147.8211389,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749641270.836606,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749643170.263102,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749643282.214215,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749645076.4479809,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749645642.233887,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749653929.409254,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749654158.511102,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749715250.2172651,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749720396.282628,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749721745.7219949,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749722210.7859368,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749729916.3772311,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749730613.600394,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749757291.823292,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749757372.066905,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749757622.829263,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749758031.822135,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749761539.7270808,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749764521.7032208,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749765089.00452,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749765120.367815,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749765136.055907,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749803102.772974,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749803338.617146,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749852983.321357,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749854054.307205,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749882995.8887281,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749893436.374597,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749895949.3757958,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749897190.068934,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749897286.882574,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749897545.1773062,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749905606.302918,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749914053.232942,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749914200.246156,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749922143.851338,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749922865.079742,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749934212.153784,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749961756.2708058,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749962302.22561,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749978213.187968,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749980538.2036428,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749980832.9252238,instagram,1.5,False
dismissedAppOpening,Europe/Berlin,breathingExercise,1749982548.176202,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1749982951.132143,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750019234.1283479,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750021898.118098,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750083669.6266909,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750093021.035324,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750093127.873791,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750093202.711312,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750096199.813077,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750096215.4677548,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750097255.0134,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750099682.283358,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750100448.867087,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750100482.169321,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750103233.4265099,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750103424.583823,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750103531.692347,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750105379.1964579,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750134752.232335,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750135022.116747,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750139109.3483648,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750147873.370542,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750150486.134863,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750152003.7776542,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750153000.21972,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750155189.955768,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750155214.71972,instagram,1.5,False
openedApp,Europe/Berlin,breathingExercise,1750155735.3989248,instagram,1.5,False
