app,interventionType,resolution,purpose,timezone,timestamp,isReIntervention,timeIntervalUntilReIntervention,interventionDuration,terminationReason
instagram,breathingExercise,openedApp,Search Info,Europe/Samara,1749305658.3004398,0.0,180.0,1.5,
instagram,breathingExercise,openedApp,Search Info,Europe/Samara,1749305689.277251,0.0,180.0,1.5,
pinterest,breathingExercise,openedApp,Escape / Avoid,Europe/Samara,1749313683.601279,0.0,180.0,1.5,
instagram,breathingExercise,dismissedAppOpening,,Europe/Samara,1749315835.1065822,0.0,,1.5,
instagram,breathingExercise,openedApp,Escape / Avoid,Europe/Samara,1749315847.135839,0.0,120.0,1.5,
pinterest,breathingExercise,dismissedAppOpening,,Europe/Samara,1749321389.340139,0.0,,1.5,
tikTok,breathingExercise,openedApp,Bored,Europe/Samara,1749321417.337016,0.0,300.0,1.5,
tikTok,breathingExercise,openedApp,Relax,Europe/Samara,1749321745.427577,1.0,180.0,1.5,
tikTok,breathingExercise,openedApp,Relax,Europe/Samara,1749321945.705123,1.0,300.0,1.5,
tikTok,breathingExercise,openedApp,Escape / Avoid,Europe/Samara,1749322262.28271,1.0,300.0,1.5,
tikTok,breathingExercise,openedApp,Escape / Avoid,Europe/Samara,1749338466.133017,0.0,420.0,1.5,
tikTok,breathingExercise,openedApp,Escape / Avoid,Europe/Samara,1749338907.423811,0.0,360.0,1.5,
tikTok,breathingExercise,openedApp,Relax,Europe/Samara,1749339296.105308,0.0,180.0,1.5,
tikTok,breathingExercise,openedApp,Entertainment,Europe/Samara,1749339505.661368,0.0,600.0,1.5,
tikTok,breathingExercise,openedApp,Entertainment,Europe/Samara,1749340088.5646849,0.0,300.0,1.5,
tikTok,breathingExercise,openedApp,Entertainment,Europe/Samara,1749340407.960112,0.0,600.0,1.5,
tikTok,breathingExercise,dismissedAppOpening,,Europe/Samara,1749341031.6941829,0.0,,1.5,
instagram,breathingExercise,openedApp,Entertainment,Europe/Samara,1749365923.555237,0.0,180.0,1.5,
instagram,breathingExercise,openedApp,Entertainment,Europe/Samara,1749366118.361206,1.0,300.0,1.5,
instagram,breathingExercise,openedApp,Entertainment,Europe/Samara,1749366436.953847,1.0,300.0,1.5,
tikTok,breathingExercise,openedApp,Entertainment,Europe/Samara,1749366928.518786,0.0,600.0,1.5,
tikTok,breathingExercise,openedApp,Entertainment,Europe/Samara,1749367542.934897,1.0,600.0,1.5,
pinterest,breathingExercise,dismissedAppOpening,,Europe/Samara,1749368627.921101,0.0,,1.5,
,,,,,1749368824.8291101,,,,terminatedByUser
