app,isReIntervention,resolution,timezone,timestamp,interventionType,interventionDuration,purpose,terminationReason
4DCFC84A-35B1-47D8-B94A-F77074C1DD24,0.0,closedApp,Europe/Berlin,1753186573.0232968,,,,
4DCFC84A-35B1-47D8-B94A-F77074C1DD24,0.0,closedApp,Europe/Berlin,1753186627.262286,,,,
4DCFC84A-35B1-47D8-B94A-F77074C1DD24,0.0,closedApp,Europe/Berlin,1753186654.703977,,,,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,openedApp,Europe/Berlin,1753189296.783486,breathingExercise,1.5,Langeweile,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,closedApp,Europe/Berlin,1753189356.984724,,,,
tagesschau,0.0,dismissedAppOpening,Europe/Berlin,1753189368.771661,breathingExercise,1.5,,
tagesschau,0.0,openedApp,Europe/Berlin,1753189415.518676,breathingExercise,1.5,Langeweile,
etsy,0.0,closedApp,Europe/Berlin,1753193865.217803,,,,
etsy,0.0,closedApp,Europe/Berlin,1753193867.3137999,,,,
etsy,0.0,closedApp,Europe/Berlin,1753193904.9364781,,,,
etsy,0.0,closedApp,Europe/Berlin,1753193933.586288,,,,
etsy,0.0,closedApp,Europe/Berlin,1753193935.6964278,,,,
etsy,0.0,closedApp,Europe/Berlin,1753196585.721849,,,,
etsy,0.0,closedApp,Europe/Berlin,1753196645.3003511,,,,
etsy,0.0,closedApp,Europe/Berlin,1753196735.3105512,,,,
etsy,0.0,closedApp,Europe/Berlin,1753196793.1985168,,,,
etsy,0.0,closedApp,Europe/Berlin,1753196844.350394,,,,
etsy,0.0,closedApp,Europe/Berlin,1753197135.167887,,,,
tagesschau,0.0,closedApp,Europe/Berlin,1753189478.2108002,,,,
tagesschau,0.0,closedApp,Europe/Berlin,1753189710.16243,,,,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,openedApp,Europe/Berlin,1753200016.4166532,breathingExercise,1.5,Auf dem Laufenden bleiben,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,closedApp,Europe/Berlin,1753200064.873783,,,,
youtube,0.0,openedApp,Europe/Berlin,1753200085.4864411,breathingExercise,1.5,Auf dem Laufenden bleiben,
youtube,0.0,closedApp,Europe/Berlin,1753200209.253014,,,,
youtube,0.0,closedApp,Europe/Berlin,1753200211.636266,,,,
youtube,0.0,closedApp,Europe/Berlin,1753200222.019372,,,,
youtube,0.0,closedApp,Europe/Berlin,1753200262.115862,,,,
youtube,0.0,closedApp,Europe/Berlin,1753215890.809709,,,,
etsy,0.0,closedApp,Europe/Berlin,1753217025.164882,,,,
etsy,0.0,closedApp,Europe/Berlin,1753217028.5037699,,,,
payPal,0.0,closedApp,Europe/Berlin,1753215128.744009,,,,
payPal,0.0,closedApp,Europe/Berlin,1753215131.371536,,,,
payPal,0.0,closedApp,Europe/Berlin,1753215138.5281448,,,,
payPal,0.0,closedApp,Europe/Berlin,1753215146.778856,,,,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,openedApp,Europe/Berlin,1753231801.4083672,breathingExercise,1.5,Auf dem Laufenden bleiben,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,closedApp,Europe/Berlin,1753231946.393983,,,,
etsy,0.0,closedApp,Europe/Berlin,1753231978.306199,,,,
youtube,0.0,openedApp,Europe/Berlin,1753231992.225075,breathingExercise,1.5,Auf dem Laufenden bleiben,
youtube,0.0,closedApp,Europe/Berlin,1753232168.188745,,,,
etsy,0.0,closedApp,Europe/Berlin,1753232342.021631,,,,
etsy,0.0,closedApp,Europe/Berlin,1753232550.576936,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233052.950214,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233093.2135649,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233103.6904159,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233634.584941,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233646.2702389,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233657.803756,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233659.6778312,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233662.618456,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233683.4707088,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233695.201696,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233734.397153,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233738.685864,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233771.780839,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233820.616122,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233929.772482,,,,
etsy,0.0,closedApp,Europe/Berlin,1753233953.1936421,,,,
etsy,0.0,closedApp,Europe/Berlin,1753234011.2635489,,,,
mydealz,0.0,closedApp,Europe/Berlin,1753233606.203436,,,,
mydealz,0.0,closedApp,Europe/Berlin,1753233607.303791,,,,
mydealz,0.0,closedApp,Europe/Berlin,1753233619.896467,,,,
mydealz,0.0,closedApp,Europe/Berlin,1753233965.297087,,,,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,dismissedAppOpening,Europe/Berlin,1753235271.682503,breathingExercise,1.5,,
gutefrage,0.0,closedApp,Europe/Berlin,1753235619.6711001,,,,
tagesschau,0.0,openedApp,Europe/Berlin,1753235718.179692,breathingExercise,1.5,Auf dem Laufenden bleiben,
tagesschau,0.0,closedApp,Europe/Berlin,1753236034.414223,,,,
youtube,0.0,dismissedAppOpening,Europe/Berlin,1753236064.91194,breathingExercise,1.5,,
instagram,0.0,closedApp,Europe/Berlin,1753236353.387854,,,,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,openedApp,Europe/Berlin,1753254803.319148,breathingExercise,1.5,Auf dem Laufenden bleiben,
BD2FCE85-A13F-4476-986E-727EBB9A968A,0.0,closedApp,Europe/Berlin,1753254975.608094,,,,
