resolution,isReIntervention,interventionDuration,interventionType,timezone,app,timeIntervalUntilReIntervention,timestamp
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,60.0,1749537370.441778
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749537532.0509
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749537533.9429588
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749537575.516758
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749537594.142802
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749537667.979703
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749559441.958633
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749559854.4612908
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749560685.82347
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749560736.5654268
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749561862.1404362
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749566819.891121
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749587655.7587261
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749612515.668589
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749621198.5570722
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749624930.39643
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749632651.043254
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749633202.78905
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749635591.1066089
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749635641.142117
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749636009.0863008
dismissedAppOpening,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749636630.096487
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749636637.7602239
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749640467.6878939
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749640945.3738952
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749641314.45683
openedApp,False,1.5,breathingExercise,Asia/Kolkata,youtube,,1749660888.824266
