timezone,timestamp,isReIntervention,resolution,interventionDuration,app,interventionType,timeIntervalUntilReIntervention,purpose
America/Toronto,1748787741.1857939,False,dismissedAppOpening,1.5,instagram,askForTimeLimit,,
America/Toronto,1748789177.020792,False,openedApp,1.5,facebook,askForTimeLimit,300.0,
America/Toronto,1748789872.457413,False,dismissedAppOpening,1.5,pinterest,askForTimeLimit,,
America/Toronto,1748798825.614173,False,openedApp,1.5,amazon,askForTimeLimit,300.0,
America/Toronto,1748806752.128438,False,openedApp,1.5,instagram,askForTimeLimit,360.0,
America/Toronto,1748806985.895556,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748807320.455566,False,dismissedAppOpening,1.5,instagram,askForTimeLimit,,
America/Toronto,1748807325.476198,False,openedApp,1.5,instagram,askForTimeLimit,420.0,
America/Toronto,1748807527.146513,False,openedApp,1.5,tikTok,breathingExercise,,Search Info
America/Toronto,1748807548.880563,False,dismissedAppOpening,1.5,instagram,askForTimeLimit,,
America/Toronto,1748808254.619358,False,openedApp,1.5,instagram,askForTimeLimit,180.0,
America/Toronto,1748815833.349226,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748815980.528764,False,openedApp,1.5,instagram,askForTimeLimit,60.0,
America/Toronto,1748816055.902951,False,openedApp,1.5,facebook,askForTimeLimit,300.0,
America/Toronto,1748816442.699356,False,openedApp,1.5,facebook,breathingExercise,180.0,Stay In the Loop
America/Toronto,1748816521.3724399,False,dismissedAppOpening,1.5,facebook,askForTimeLimit,,
America/Toronto,1748869329.385612,False,openedApp,1.5,facebook,askForTimeLimit,180.0,
America/Toronto,1748872227.2413778,False,dismissedAppOpening,1.5,pinterest,askForTimeLimit,,
America/Toronto,1748872284.452464,False,dismissedAppOpening,1.5,pinterest,askForTimeLimit,,
America/Toronto,1748878762.4516602,False,openedApp,1.5,facebook,askForTimeLimit,180.0,
America/Toronto,1748879150.838996,False,openedApp,1.5,instagram,askForTimeLimit,180.0,
America/Toronto,1748879357.3927798,True,openedApp,1.5,instagram,breathingExercise,300.0,Bored
America/Toronto,1748879601.753862,False,openedApp,1.5,tikTok,breathingExercise,,Bored
America/Toronto,1748891998.069916,False,openedApp,1.5,facebookMessenger,askForTimeLimit,180.0,
America/Toronto,1748892011.14988,False,openedApp,1.5,facebook,askForTimeLimit,240.0,
America/Toronto,1748901443.726659,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748901760.4026241,False,dismissedAppOpening,1.5,instagram,breathingExercise,,
America/Toronto,1748901930.233807,False,openedApp,1.5,pinterest,askForTimeLimit,600.0,
America/Toronto,1748902017.602781,False,openedApp,1.5,pinterest,askForTimeLimit,360.0,
America/Toronto,1748902285.813693,False,openedApp,1.5,amazon,askForTimeLimit,600.0,
America/Toronto,1748902629.877542,False,dismissedAppOpening,1.5,instagram,askForTimeLimit,,
America/Toronto,1748903868.180987,False,openedApp,1.5,instagram,askForTimeLimit,60.0,
America/Toronto,1748908220.442405,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748908369.389282,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748908596.828426,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748910143.491142,False,dismissedAppOpening,1.5,instagram,askForTimeLimit,,
America/Toronto,1748910156.481629,False,openedApp,1.5,tikTok,breathingExercise,,Search Info
America/Toronto,1748910444.738261,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748911146.831867,False,openedApp,1.5,facebook,askForTimeLimit,300.0,
America/Toronto,1748911216.255134,False,dismissedAppOpening,1.5,facebook,askForTimeLimit,,
America/Toronto,1748911333.3808742,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748974874.0217981,False,dismissedAppOpening,1.5,facebook,askForTimeLimit,,
America/Toronto,1748982602.595797,False,openedApp,1.5,amazon,askForTimeLimit,300.0,
America/Toronto,1748987420.3904,False,openedApp,1.5,instagram,askForTimeLimit,600.0,
America/Toronto,1748992754.4235492,False,openedApp,1.5,amazon,askForTimeLimit,300.0,
America/Toronto,1748992979.590753,False,openedApp,1.5,instagram,askForTimeLimit,300.0,
America/Toronto,1748993361.814797,False,openedApp,1.5,facebookMessenger,askForTimeLimit,300.0,
America/Toronto,1748993367.586698,False,openedApp,1.5,facebook,askForTimeLimit,300.0,
America/Toronto,1748993409.6030111,False,openedApp,1.5,tikTok,breathingExercise,,Stay In the Loop
America/Toronto,1748994492.981584,False,openedApp,1.5,amazon,askForTimeLimit,600.0,
America/Toronto,1748994691.270423,False,openedApp,1.5,facebook,askForTimeLimit,420.0,
America/Toronto,1749070636.273459,False,openedApp,1.5,instagram,askForTimeLimit,420.0,
America/Toronto,1749070968.219225,False,openedApp,1.5,facebook,askForTimeLimit,420.0,
America/Toronto,1749071117.748955,False,openedApp,1.5,instagram,askForTimeLimit,420.0,
America/Toronto,1749071325.865453,False,openedApp,1.5,amazon,askForTimeLimit,600.0,
America/Toronto,1749071430.878893,False,openedApp,1.5,amazon,askForTimeLimit,480.0,
America/Toronto,1749074073.9001489,False,openedApp,1.5,amazon,askForTimeLimit,600.0,
America/Toronto,1749074845.9527822,True,openedApp,1.5,amazon,breathingExercise,900.0,Search Info
America/Toronto,1749075491.590537,False,openedApp,1.5,amazon,askForTimeLimit,600.0,
America/Toronto,1749076109.4480429,True,openedApp,1.5,amazon,breathingExercise,900.0,Search Info
America/Toronto,1749076435.990707,False,openedApp,1.5,amazon,askForTimeLimit,900.0,
America/Toronto,1749077030.927254,False,openedApp,1.5,facebook,askForTimeLimit,900.0,
America/Toronto,1749077720.594914,False,openedApp,1.5,facebook,askForTimeLimit,900.0,
America/Toronto,1749078327.430499,False,openedApp,1.5,facebook,askForTimeLimit,900.0,
America/Toronto,1749078500.872388,False,openedApp,1.5,facebookMessenger,askForTimeLimit,900.0,
America/Toronto,1749078505.6428108,False,openedApp,1.5,facebook,askForTimeLimit,60.0,
America/Toronto,1749078576.0682259,True,openedApp,1.5,facebook,breathingExercise,900.0,Search Info
America/Toronto,1749078588.5412269,False,openedApp,1.5,facebookMessenger,askForTimeLimit,900.0,
America/Toronto,1749078651.207417,False,openedApp,1.5,facebook,askForTimeLimit,660.0,
