isReIntervention,app,resolution,timezone,interventionDuration,timestamp,timeIntervalUntilReIntervention,purpose,interventionType
True,instagram,openedApp,America/Toronto,1.5,1748816998.2337298,180.0,Message,breathingExercise
False,instagram,closedApp,America/Toronto,,1748816986.474599,,,
False,instagram,closedApp,America/Toronto,,1748817135.437611,,,
False,instagram,openedApp,America/Toronto,1.5,1748820021.276825,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748820044.032347,,,
False,instagram,openedApp,America/Toronto,1.5,1748822136.472512,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748822167.826202,,,
True,instagram,openedApp,America/Toronto,1.5,1748822231.000128,480.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1748822211.264415,,,
False,instagram,closedApp,America/Toronto,,1748822452.493504,,,
False,instagram,closedApp,America/Toronto,,1748822726.046136,,,
False,instagram,openedApp,America/Toronto,1.5,1748824017.272944,300.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748825710.40068,900.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748824277.760045,,,
False,instagram,closedApp,America/Toronto,,1748824296.946278,,,
False,instagram,closedApp,America/Toronto,,1748824329.753573,,,
False,instagram,closedApp,America/Toronto,,1748826154.3667002,,,
False,instagram,closedApp,America/Toronto,,1748826278.933368,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748826719.408757,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748826745.582089,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748827551.643577,900.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748827928.977073,,,
False,instagram,closedApp,America/Toronto,,1748827950.167688,,,
False,instagram,closedApp,America/Toronto,,1748828207.549994,,,
False,instagram,closedApp,America/Toronto,,1748828257.24736,,,
True,instagram,openedApp,America/Toronto,1.5,1748828503.52101,120.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1748828496.933024,,,
False,instagram,closedApp,America/Toronto,,1748828637.638448,,,
False,instagram,openedApp,America/Toronto,1.5,1748828667.0788841,60.0,Post something,breathingExercise
True,instagram,openedApp,America/Toronto,1.5,1748828752.504689,120.0,Check likes,breathingExercise
False,instagram,closedApp,America/Toronto,,1748828742.65654,,,
True,instagram,openedApp,America/Toronto,1.5,1748828897.229346,180.0,Stay In the Loop,breathingExercise
False,instagram,closedApp,America/Toronto,,1748828885.748127,,,
False,instagram,closedApp,America/Toronto,,1748829091.535671,,,
False,instagram,openedApp,America/Toronto,1.5,1748830161.054414,1200.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748832455.5679212,660.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748830226.070854,,,
False,instagram,closedApp,America/Toronto,,1748832703.986615,,,
False,instagram,closedApp,America/Toronto,,1748833132.97386,,,
False,instagram,openedApp,America/Toronto,1.5,1748836303.118284,300.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748836629.232105,,,
False,instagram,openedApp,America/Toronto,1.5,1748836664.442184,120.0,Entertainment,breathingExercise
False,instagram,closedApp,America/Toronto,,1748836719.062745,,,
False,instagram,closedApp,America/Toronto,,1748837130.112946,,,
False,instagram,openedApp,America/Toronto,1.5,1748861096.9646559,300.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748861422.6974812,,,
False,instagram,openedApp,America/Toronto,1.5,1748862414.407404,300.0,,askForTimeLimit
True,instagram,dismissedAppOpening,America/Toronto,1.5,1748862927.049981,,,breathingExercise
False,instagram,closedApp,America/Toronto,,1748862910.825848,,,
False,instagram,openedApp,America/Toronto,1.5,1748862960.061348,660.0,Entertainment,breathingExercise
False,instagram,closedApp,America/Toronto,,1748863587.417556,,,
False,instagram,closedApp,America/Toronto,,1748863631.567281,,,
False,instagram,openedApp,America/Toronto,1.5,1748866846.1511068,600.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748866926.992559,,,
False,instagram,closedApp,America/Toronto,,1748867457.5257711,,,
False,instagram,openedApp,America/Toronto,1.5,1748873521.321832,360.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748873912.0190759,,,
False,instagram,openedApp,America/Toronto,1.5,1748873931.131815,360.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1748874081.4486752,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748874483.217712,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748877110.451017,480.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748877596.829698,,,
False,instagram,openedApp,America/Toronto,1.5,1748877816.4215999,480.0,Message,breathingExercise
