interventionType,isReIntervention,timezone,interventionDuration,resolution,timestamp,app
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749666191.893373,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749666343.876309,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749669052.077642,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749669126.112519,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749669353.359968,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749670273.88899,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749674712.6516,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749674713.730444,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749674715.077102,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749674719.484221,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749677841.819813,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749679454.392906,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749680141.854619,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749683260.074496,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749688983.4524121,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749690839.5620298,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749718399.816352,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749721067.0246692,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749721353.741811,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749721981.170366,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749734277.131465,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749734546.08432,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749734548.9893641,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749739179.66836,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749741550.786649,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749744025.685655,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749744759.233262,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749804389.754575,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749818500.1699681,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749821136.852021,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749825092.334393,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749826803.675809,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749828438.141605,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749833645.267459,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749834230.3897572,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749838024.176667,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749842781.0742311,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749849362.5947309,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749849471.111057,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749849833.528014,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749853707.0056791,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749890419.6727262,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749891910.5875568,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749894181.240901,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749895201.638983,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749911663.2728271,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749913107.140676,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749914224.016043,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749915059.1357188,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749915376.514581,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749920109.662864,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749921921.598819,instagram
breathingExercise,False,Europe/Lisbon,1.5,openedApp,1749923889.9239411,instagram
breathingExercise,False,Europe/Lisbon,1.5,dismissedAppOpening,1749927137.7112432,instagram
