resolution,timezone,app,interventionDuration,timestamp,isReIntervention,interventionType
dismissedAppOpening,Africa/Johannesburg,tikTok,1.5,1749642991.667582,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,tikTok,1.5,1749654477.4413629,False,breathingExercise
openedApp,Africa/Johannesburg,tikTok,1.5,1749666985.488775,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,tikTok,1.5,1749667233.481565,False,breathingExercise
openedApp,Africa/Johannesburg,tikTok,1.5,1749670656.288912,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,tikTok,1.5,1749670754.811173,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749837436.707861,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749837485.694027,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749837821.8205628,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749838588.003897,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749841801.857769,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749854483.562176,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749856693.529732,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749879478.619329,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749881067.57249,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749881652.433471,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749885040.4335918,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749887361.787427,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749887860.829606,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749887968.173605,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749887982.0427961,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749890390.59354,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749891010.628028,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749892152.856927,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749893487.789856,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749893653.179621,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749893656.478766,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749893778.708103,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749893791.679919,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749901596.01447,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749901669.9020128,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749901977.34824,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749902135.398666,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749908165.242276,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749919060.821282,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749919064.8132858,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749919074.2727818,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1749948634.3267589,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749948642.075011,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749950076.170932,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1749967174.354611,False,breathingExercise
