app,resolution,timestamp,interventionDuration,interventionType,isReIntervention,timezone
instagram,openedApp,1751034749.359926,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751035703.228291,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751036086.472815,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751036092.844881,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751109749.438523,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751116015.207285,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751116298.422958,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751116728.995963,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751162556.065402,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751162803.655709,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751164193.039186,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751166118.505488,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751211965.639278,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751218780.178972,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751237504.227561,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751242240.417365,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751288405.844935,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751303141.369277,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751358299.080151,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751359496.958517,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751406435.866493,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751406439.371117,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751434524.993686,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751490052.1307092,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751490325.143498,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751490566.346441,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751490827.636065,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751495278.567503,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751498116.774891,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751498753.531554,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751529683.475846,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751580371.720686,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751583116.702019,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751583652.722921,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751615812.7775369,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751629033.6131191,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751629337.260202,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751643956.806545,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751644055.306858,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751644063.83654,1.5,breathingExercise,False,Europe/Berlin
instagram,openedApp,1751653107.59216,1.5,breathingExercise,False,Europe/Berlin
instagram,dismissedAppOpening,1751704465.54388,1.5,breathingExercise,False,Europe/Berlin
