interventionType,resolution,isReIntervention,timestamp,app,timezone,interventionDuration
breathingExercise,dismissedAppOpening,False,1751528433.470152,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751528692.550586,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751528739.291376,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751534339.51256,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751534357.1980839,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751534458.442327,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751534706.7437658,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751534977.199644,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751540048.528301,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751540056.352007,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751542242.617023,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751542246.151392,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751543357.054871,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751548778.485165,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751548841.8648028,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751550061.4218779,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751550168.790578,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751550227.785842,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751551786.149207,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751553681.540288,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751566369.755477,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751566457.674986,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751569036.942039,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751569045.0980701,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751569348.97966,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751569397.091356,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751598615.2407088,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751608948.0266762,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751610658.019755,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751610919.76947,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751611439.4747782,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751611454.611799,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751614394.560092,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751614917.262954,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751615626.0198221,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751616876.894051,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751617930.3996859,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751624055.611897,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751624116.483294,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751625355.433636,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751627143.1037831,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751628094.3099651,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751630990.295691,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751638107.3908792,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751638116.6505919,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751642504.039939,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751642507.071449,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751645578.4009209,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751645588.676666,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751646699.248773,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751646873.753361,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751652071.268805,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751652118.417093,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751656173.50214,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751656174.3486428,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751656181.351074,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751657227.199954,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751662380.077698,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751664563.114517,instagram,Europe/Berlin,1.5
breathingExercise,dismissedAppOpening,False,1751664988.758511,instagram,Europe/Berlin,1.5
breathingExercise,openedApp,False,1751664996.040801,instagram,Europe/Berlin,1.5
