interventionDuration,isReIntervention,timestamp,app,resolution,interventionType,timezone,timeIntervalUntilReIntervention
1.5,False,1751408458.588424,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751408547.4992661,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751428170.7196732,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751433697.514511,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434100.85703,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434103.643805,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434106.371169,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434154.4771671,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434694.0994,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434910.506884,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434913.828055,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751434962.705936,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751448583.870384,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751455582.280807,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751465518.284243,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751465586.856539,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751469169.818639,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751469495.221802,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751469506.9384298,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751469932.293583,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751469942.911447,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751470008.5659409,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751470021.375582,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751470266.8209128,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751477914.1194,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751478108.4743428,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751478152.6735249,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751478155.363194,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751478166.31623,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751478179.5298982,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751478565.469472,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751478577.6052651,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
1.5,False,1751478596.809908,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
1.5,False,1751479732.8062549,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751480066.398384,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751480169.0259418,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751480198.085,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751480570.590693,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751480690.253384,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751483600.323802,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751485974.4187179,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751485978.035588,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751486028.555376,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751486099.5570621,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751486115.9972792,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751491662.162281,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751496087.598675,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751496395.157882,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751497537.6153932,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751498933.831153,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751498960.864727,instagram,closedApp,,Europe/Warsaw,
,False,1751498985.054035,instagram,closedApp,,Europe/Warsaw,
,False,1751498986.2209,instagram,closedApp,,Europe/Warsaw,
,False,1751499181.1784182,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751499189.305029,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751499222.184859,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751499258.637394,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751499268.421144,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751499285.846205,instagram,closedApp,,Europe/Warsaw,
,False,1751499289.783421,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751499312.28828,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751499339.94942,instagram,closedApp,,Europe/Warsaw,
,False,1751499361.692308,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751519992.524055,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751520528.621109,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751520693.964874,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751520835.8084111,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751520841.11825,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751521174.307054,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751521420.5599241,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751521429.134656,instagram,openedApp,breathingExercise,Europe/Warsaw,600.0
,False,1751521772.0823622,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751522446.271813,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751523300.8955631,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751523322.6859999,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751523340.5710878,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751523611.4425101,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751523619.658705,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751523924.0180268,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751523930.951694,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751524042.325091,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751524179.562593,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
