timezone,interventionDuration,app,interventionType,isReIntervention,timestamp,resolution,timeIntervalUntilReIntervention
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749698026.963213,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749698032.454371,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749727911.087871,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749729569.871026,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749731081.398254,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749731152.783387,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749735057.799986,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749743707.826662,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749745369.553039,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749745456.336875,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749750938.8537269,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749753147.571563,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749753174.054501,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749758566.548069,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749758640.75702,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749761378.609353,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749762358.227762,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749769955.000989,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749770415.5787148,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749770551.7393641,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749773851.868015,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749775382.48777,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749775654.504962,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749788632.66254,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749788811.0468469,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749820398.5842628,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749820542.4540958,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749820738.359484,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749821154.9853,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749825227.8535929,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749833931.545553,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749834181.810921,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749845223.114501,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749845236.7386699,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749845253.408667,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749848613.16291,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749850608.051568,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749851188.580964,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749851258.0664911,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749851326.549242,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749852508.649894,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749852703.222404,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749863176.054498,openedApp,180.0
