interventionType,timestamp,interventionDuration,isReIntervention,timezone,resolution,app,purpose
breathingExercise,1750677274.936496,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750683941.046276,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750722177.693032,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750728734.262457,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,
breathingExercise,1750728767.416689,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750739508.677256,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,
breathingExercise,1750763875.9342198,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750764253.011931,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,
breathingExercise,1750773300.1126099,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750773633.997563,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750775447.676738,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750777196.482487,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,instagram,
breathingExercise,1750804993.536133,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750810302.706492,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,
breathingExercise,1750810931.708235,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750817155.738749,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750818207.575736,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750821162.658654,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750827191.802985,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750828290.545785,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,instagram,
breathingExercise,1750834480.986116,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,
breathingExercise,1750844648.5286741,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1750856353.8620439,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750856446.1980782,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,
breathingExercise,1750865123.954694,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Entertainment
breathingExercise,1750900758.4863238,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Escape / Avoid
breathingExercise,1750982833.1267471,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Entertainment
breathingExercise,1750984773.316721,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Entertainment
breathingExercise,1750997646.412799,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751006413.267044,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Entertainment
breathingExercise,1751013776.011969,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751013785.971072,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751013788.7942472,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751081556.42068,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Relax
breathingExercise,1751084840.976973,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Escape / Avoid
breathingExercise,1751089744.908622,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,instagram,
breathingExercise,1751098216.645824,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,instagram,
breathingExercise,1751161363.2228,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Entertainment
breathingExercise,1751190503.56024,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Relax
breathingExercise,1751192534.812614,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Search Info
breathingExercise,1751193331.0242162,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Relax
breathingExercise,1751193457.485393,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751203284.932774,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751204176.270134,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,instagram,
breathingExercise,1751287769.457903,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751298027.411984,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,instagram,
breathingExercise,1751359888.42382,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Entertainment
breathingExercise,1751372330.544483,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Entertainment
breathingExercise,1751374470.74401,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Entertainment
breathingExercise,1751427631.00709,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Entertainment
breathingExercise,1751428089.906296,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Stay In the Loop
breathingExercise,1751431176.5768409,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Bored
breathingExercise,1751438158.2341142,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Search Info
breathingExercise,1751441478.4980989,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751446318.840767,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Can’t sleep
breathingExercise,1751451233.32585,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Relax
breathingExercise,1751461684.583173,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Relax
breathingExercise,1751465667.194799,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751467001.632983,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751507744.144952,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Relax
breathingExercise,1751511189.222775,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751517172.5508928,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751559409.572469,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Relax
breathingExercise,1751683013.647184,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751689201.867841,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751703323.4059858,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Relax
breathingExercise,1751703455.880796,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,instagram,
breathingExercise,1751706701.658255,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751781322.180797,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751781567.8188438,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751782162.827802,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751782443.263706,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Bored
breathingExercise,1751782533.713392,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Message
breathingExercise,1751787739.9993691,1.5,False,Asia/Kuala_Lumpur,openedApp,instagram,Bored
breathingExercise,1751787748.982287,1.5,False,Asia/Kuala_Lumpur,dismissedAppOpening,linkedin,
breathingExercise,1751788173.940222,1.5,False,Asia/Kuala_Lumpur,openedApp,linkedin,Bored
