timezone,timestamp,interventionDuration,app,resolution,interventionType,isReIntervention
Europe/London,1750112813.425243,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750177405.686142,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750177633.17155,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750182984.3653588,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750182984.412634,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750184132.566063,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750187610.425715,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750193540.788795,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750193977.053977,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750194066.541894,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750197919.37039,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750198430.1088219,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750254014.337872,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750258016.54464,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750260450.2408009,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750261734.410171,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750270666.646039,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750272851.374274,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750274026.2783709,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750274038.130049,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750284471.816582,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750285935.5688791,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750329456.602109,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750330741.1879869,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750334324.526222,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750343708.412612,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750344845.020162,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750345287.520082,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750345505.303024,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750345575.414911,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750349150.0252352,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750351694.830851,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750352062.5171409,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750352181.10918,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750352772.3320398,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750352778.6973891,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750352952.26946,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750360625.404351,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750366660.2624621,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750366980.584526,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750368160.664249,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750368883.851409,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750372665.369182,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750421926.819783,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750425564.564004,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750427653.257097,1.5,instagram,openedApp,breathingExercise,False
