app,interventionDuration,interventionType,isReIntervention,purpose,timezone,resolution,timestamp
instagram,1.5,breathingExercise,False,Entertainment,Europe/London,openedApp,1752962594.263231
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1752963007.6004272
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1752990929.393938
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1752994953.772492
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1752995189.758391
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1752999173.41396
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1752999214.163248
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753002554.95928
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753002846.6357741
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753002859.388725
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753002906.458152
instagram,1.5,breathingExercise,False,Entertainment,Europe/London,openedApp,1753018792.039754
instagram,1.5,breathingExercise,False,Entertainment,Europe/London,openedApp,1753019332.685847
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753020041.998557
twitter,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753020397.000071
twitter,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753020424.9926472
facebook,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753020502.973093
threads,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753020593.599314
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753020757.221554
instagram,1.5,breathingExercise,False,Bored,Europe/London,openedApp,1753021470.385757
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753023821.22196
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753025002.32897
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753025315.0845609
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753025528.026907
twitter,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753025619.366809
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753027919.21367
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753033228.921947
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753043434.391298
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753044916.203775
threads,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753045434.915108
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753045452.527722
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753045515.988426
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753076957.799895
threads,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753077756.68663
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753077869.651207
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753078332.311209
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753078589.005141
facebook,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753078834.653232
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753078953.617835
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753080268.833871
twitter,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753084248.153345
twitter,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753084255.847961
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753086224.659964
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753086669.3368669
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753086763.844579
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753095005.0580711
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753095031.846204
threads,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753095092.8755112
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753095106.195952
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753095590.159165
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753095691.879005
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753101299.426192
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753101704.1413789
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753105544.375926
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753105596.379627
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753105608.1921039
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753116321.263883
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753116535.479254
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753116974.63343
facebook,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753124133.500952
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753126700.325552
twitter,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753127214.962051
twitter,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753131598.958025
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753164045.368974
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753165519.783763
twitter,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753165906.5451589
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753170296.336183
facebook,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753170325.395134
facebook,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753170332.980216
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753206216.382164
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753208813.664489
twitter,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753210564.1468492
instagram,1.5,breathingExercise,False,,Europe/London,dismissedAppOpening,1753210689.2416692
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753210715.7717872
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753214157.948745
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753215265.040945
instagram,1.5,breathingExercise,False,Relax,Europe/London,openedApp,1753217150.455634
