timezone,resolution,app,timestamp,interventionDuration,isReIntervention,interventionType
Asia/Tokyo,openedApp,youtube,1751264597.308011,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751264613.864315,,False,
Asia/Tokyo,openedApp,youtube,1751264653.056824,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751264801.030149,,False,
Asia/Tokyo,openedApp,youtube,1751264888.235241,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751264978.896103,,False,
Asia/Tokyo,openedApp,youtube,1751265055.9328508,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751265085.283927,,False,
Asia/Tokyo,openedApp,youtube,1751265136.300349,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751265166.19099,,False,
Asia/Tokyo,openedApp,youtube,1751265336.1438808,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751265356.230527,,False,
Asia/Tokyo,openedApp,youtube,1751276773.416538,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751276789.1353412,,False,
Asia/Tokyo,closedApp,youtube,1751276880.754053,,False,
Asia/Tokyo,closedApp,youtube,1751277474.968648,,False,
Asia/Tokyo,closedApp,youtube,1751277680.83243,,False,
Asia/Tokyo,openedApp,youtube,1751357474.812006,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751357488.761806,,False,
Asia/Tokyo,closedApp,youtube,1751357598.658534,,False,
Asia/Tokyo,openedApp,youtube,1751357660.2681,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751357736.7408009,,False,
Asia/Tokyo,openedApp,youtube,1751358444.6295938,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751358507.160798,,False,
Asia/Tokyo,openedApp,youtube,1751358619.4036589,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751358660.8301759,,False,
Asia/Tokyo,openedApp,youtube,1751358752.946789,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751358800.9899302,,False,
Asia/Tokyo,openedApp,youtube,1751359063.730591,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751359182.252703,,False,
Asia/Tokyo,openedApp,youtube,1751360869.715396,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751360927.307006,,False,
Asia/Tokyo,openedApp,youtube,1751361103.377139,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751361169.6917229,,False,
Asia/Tokyo,openedApp,youtube,1751361473.449422,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751361532.3709168,,False,
Asia/Tokyo,openedApp,youtube,1751362612.2216702,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751362669.217541,,False,
Asia/Tokyo,openedApp,youtube,1751363483.732583,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751363506.446055,,False,
Asia/Tokyo,openedApp,youtube,1751363611.572538,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751363674.800591,,False,
Asia/Tokyo,closedApp,youporn,1751409248.267686,,False,
Asia/Tokyo,openedApp,youtube,1751510059.549294,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751510176.225065,,False,
Asia/Tokyo,openedApp,youtube,1751510611.6463199,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751510652.4907231,,False,
Asia/Tokyo,openedApp,youtube,1751518171.2934651,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751518279.933041,,False,
Asia/Tokyo,closedApp,youtube,1751518839.447813,,False,
Asia/Tokyo,closedApp,youtube,1751519334.057787,,False,
Asia/Tokyo,openedApp,youtube,1751591009.3943129,1.5,False,breathingExercise
Asia/Tokyo,openedApp,youtube,1751591094.6103768,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751591184.29762,,False,
Asia/Tokyo,openedApp,youtube,1751591205.321251,1.5,False,breathingExercise
Asia/Tokyo,openedApp,youtube,1751598293.6046581,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751598381.6470032,,False,
Asia/Tokyo,openedApp,youtube,1751598484.7968888,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751598499.966991,,False,
Asia/Tokyo,closedApp,youtube,1751598550.024802,,False,
Asia/Tokyo,openedApp,youtube,1751598957.02557,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751598969.583842,,False,
Asia/Tokyo,closedApp,youtube,1751599214.094757,,False,
Asia/Tokyo,openedApp,youtube,1751599605.240745,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751599699.0715399,,False,
Asia/Tokyo,openedApp,youtube,1751600394.5429811,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751600461.841574,,False,
Asia/Tokyo,closedApp,twitter,1751608501.728098,,False,
