interventionDuration,app,interventionType,resolution,isReIntervention,timestamp,timezone,purpose,timeIntervalUntilReIntervention
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750057753.6104522,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750057771.4746861,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750057946.3309689,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750058002.283519,Asia/Kuala_Lumpur,,
1.5,youtube,breathingExercise,openedApp,False,1750058026.4037719,Asia/Kuala_Lumpur,Search Info,600.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750058080.8348432,Asia/Kuala_Lumpur,,
1.5,youtube,breathingExercise,openedApp,False,1750058566.1147308,Asia/Kuala_Lumpur,Search Info,600.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750060868.1358209,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750060921.849382,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750060977.789299,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750060980.071446,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750061118.943921,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750061235.953022,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750064564.139327,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750064567.585823,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750064570.587012,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750064621.964083,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750065545.5716949,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750065546.581147,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750065550.1155481,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750065871.548415,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750069353.117762,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750069366.4571939,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750069391.400723,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750069427.2811542,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750070481.296517,Asia/Kuala_Lumpur,Search Info,180.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750071544.457037,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750072927.6255112,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750073281.4564018,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750075136.133933,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750075362.1683831,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750077036.439467,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750077052.1322122,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750077502.956205,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750077568.2185369,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750136480.799364,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750137111.296739,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750137223.9708052,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750137233.429111,Asia/Kuala_Lumpur,Escape / Avoid,60.0
1.5,facebook,breathingExercise,openedApp,True,1750137327.554236,Asia/Kuala_Lumpur,Search Info,240.0
1.5,facebook,breathingExercise,openedApp,False,1750137389.706389,Asia/Kuala_Lumpur,Search Info,240.0
1.5,facebook,breathingExercise,openedApp,False,1750137530.1663918,Asia/Kuala_Lumpur,Search Info,240.0
1.5,facebook,breathingExercise,openedApp,False,1750137747.8596668,Asia/Kuala_Lumpur,Work,240.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750162865.088671,Asia/Kuala_Lumpur,,
1.5,youtube,breathingExercise,openedApp,False,1750163129.3219218,Asia/Kuala_Lumpur,Search Info,60.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750169928.0193,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750172342.525507,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750172345.195477,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750172377.630949,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750199574.18028,Asia/Kuala_Lumpur,Search Info,60.0
1.5,tikTok,breathingExercise,openedApp,False,1750200044.061512,Asia/Kuala_Lumpur,Search Info,600.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750201153.363286,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,openedApp,False,1750201189.374277,Asia/Kuala_Lumpur,Search Info,360.0
1.5,facebook,breathingExercise,openedApp,False,1750201436.695348,Asia/Kuala_Lumpur,Search Info,240.0
1.5,tikTok,breathingExercise,openedApp,False,1750202498.582006,Asia/Kuala_Lumpur,Search Info,240.0
1.5,tikTok,breathingExercise,openedApp,False,1750202679.88269,Asia/Kuala_Lumpur,Search Info,600.0
1.5,tikTok,breathingExercise,openedApp,False,1750202938.268961,Asia/Kuala_Lumpur,Search Info,360.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750207594.456156,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750207597.4605222,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750207608.0889192,Asia/Kuala_Lumpur,Search Info,240.0
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750207634.705205,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750207746.684681,Asia/Kuala_Lumpur,,
1.5,youtube,breathingExercise,openedApp,False,1750209913.309493,Asia/Kuala_Lumpur,Search Info,540.0
1.5,tikTok,breathingExercise,openedApp,False,1750210059.892263,Asia/Kuala_Lumpur,Search Info,480.0
1.5,tikTok,breathingExercise,openedApp,False,1750210242.887157,Asia/Kuala_Lumpur,Search Info,360.0
1.5,tikTok,breathingExercise,openedApp,False,1750216393.7463331,Asia/Kuala_Lumpur,Search Info,240.0
1.5,tikTok,breathingExercise,openedApp,False,1750216430.87692,Asia/Kuala_Lumpur,Search Info,240.0
1.5,youtube,breathingExercise,openedApp,False,1750216573.858583,Asia/Kuala_Lumpur,Search Info,300.0
1.5,tikTok,breathingExercise,openedApp,False,1750217025.463953,Asia/Kuala_Lumpur,Search Info,300.0
1.5,tikTok,breathingExercise,openedApp,False,1750230639.318512,Asia/Kuala_Lumpur,Search Info,360.0
1.5,tikTok,breathingExercise,openedApp,False,1750230711.319281,Asia/Kuala_Lumpur,Search Info,300.0
1.5,tikTok,breathingExercise,openedApp,False,1750230930.946669,Asia/Kuala_Lumpur,Search Info,360.0
1.5,tikTok,breathingExercise,openedApp,False,1750232236.887903,Asia/Kuala_Lumpur,Search Info,300.0
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750233732.339401,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,openedApp,False,1750233890.88595,Asia/Kuala_Lumpur,Search Info,240.0
1.5,facebook,breathingExercise,openedApp,False,1750237036.2887511,Asia/Kuala_Lumpur,Search Info,360.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750237108.201513,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750237113.409764,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750237163.505074,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750237199.8658729,Asia/Kuala_Lumpur,Search Info,300.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750238259.6898,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750239696.9320679,Asia/Kuala_Lumpur,Search Info,60.0
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750239768.596746,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750239772.571278,Asia/Kuala_Lumpur,,
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750242413.2097611,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750242425.210902,Asia/Kuala_Lumpur,Stay In the Loop,240.0
1.5,facebook,breathingExercise,dismissedAppOpening,True,1750242678.161384,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750243349.323653,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750243352.150475,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750244091.1056352,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750244349.692357,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750244450.056116,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750244452.305925,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750245084.4192839,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750246634.455927,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750246650.7561731,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750258867.601492,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750296439.197897,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750311258.0180569,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,openedApp,False,1750314775.3984241,Asia/Kuala_Lumpur,Search Info,240.0
1.5,facebook,breathingExercise,openedApp,False,1750314988.484133,Asia/Kuala_Lumpur,Escape / Avoid,240.0
1.5,tikTok,breathingExercise,dismissedAppOpening,False,1750315269.975512,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750315448.563778,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750318850.234293,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750319590.573399,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750319592.231657,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750320843.7329612,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750320845.306571,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750322853.471089,Asia/Kuala_Lumpur,,
1.5,facebook,breathingExercise,dismissedAppOpening,False,1750322938.856708,Asia/Kuala_Lumpur,,
