resolution,timezone,isReIntervention,timestamp,app,interventionDuration,interventionType
openedApp,America/Chicago,False,1752499382.900096,instagram,,
closedApp,America/Chicago,False,1752499742.900096,instagram,,
dismissedAppOpening,America/Chicago,False,1752499742.900097,instagram,,
openedApp,America/Chicago,False,1752499386.967612,instagram,,
closedApp,America/Chicago,False,1752499746.967613,instagram,,
dismissedAppOpening,America/Chicago,False,1752499746.967613,instagram,,
openedApp,America/Chicago,False,1752499803.631649,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752499879.216064,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752499952.189075,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752500024.37275,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752500097.674731,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752500170.9781961,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752543946.1513638,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752544018.506374,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752544089.9248219,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752544165.546733,instagram,1.5,breathingExercise
dismissedAppOpening,America/Chicago,False,1752545366.222379,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752545384.33741,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752546025.2126532,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752547115.959734,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752553231.267662,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752553547.637342,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752553493.587439,instagram,,
closedApp,America/Chicago,False,1752553853.587439,instagram,,
dismissedAppOpening,America/Chicago,False,1752553853.58744,instagram,,
openedApp,America/Chicago,False,1752554182.6219711,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752554256.3586822,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752554723.684134,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752554992.2725348,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1752674322.048099,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1753042603.464747,instagram,1.5,breathingExercise
dismissedAppOpening,America/Chicago,False,1753042915.2140322,instagram,1.5,breathingExercise
openedApp,America/Chicago,False,1753189969.816208,instagram,1.5,breathingExercise
