timestamp,interventionType,isReIntervention,app,timezone,resolution,interventionDuration,purpose,timeIntervalUntilReIntervention
1750254644.499762,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,1.5,,
1750254961.738837,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,1.5,,
1750257483.974174,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,1.5,,
1750261629.44425,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,1.5,,
1750261781.2591481,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,1.5,,
1750263513.9577742,breathingExercise,False,instagram,Asia/Aqtau,openedApp,1.5,Оставайтесь в курсе событий,60.0
1750264178.6524649,breathingExercise,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,openedApp,1.5,Оставайтесь в курсе событий,
1750264219.045753,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264231.304033,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264287.715218,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264581.4706259,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,1.5,,
1750264732.6286669,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264734.976859,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264752.6698651,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264773.041004,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264780.679893,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264801.223712,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264818.208764,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264847.14997,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264874.0338712,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264888.0939221,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264912.939492,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750264945.3672361,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750265003.459165,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750269206.681289,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,1.5,,
1750269300.0363832,breathingExercise,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,openedApp,1.5,Поискать информацию,
1750269309.460246,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1750272288.8489408,breathingExercise,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,dismissedAppOpening,1.5,,
1750272315.268852,breathingExercise,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,openedApp,1.5,Поискать информацию,
1750272318.1456962,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
