resolution,interventionType,app,interventionDuration,isReIntervention,timestamp,timezone
dismissedAppOpening,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749122547.163316,America/Mexico_City
openedApp,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749126590.769833,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749126593.94565,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749126597.034717,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749126627.204874,America/Mexico_City
openedApp,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749131328.6204882,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749131449.992887,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749131450.8946772,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749131495.8073921,America/Mexico_City
openedApp,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749134040.098693,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749134043.258342,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749134043.3692222,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749134067.858134,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749134069.543281,America/Mexico_City
openedApp,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749134251.140767,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749134263.459677,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749134265.1856909,America/Mexico_City
dismissedAppOpening,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749290910.517009,America/Mexico_City
openedApp,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749290917.526544,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749290919.759541,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749290919.84367,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749290928.0033,America/Mexico_City
openedApp,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749294486.6301088,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749294488.935954,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749294488.9506822,America/Mexico_City
closedApp,,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,,False,1749294501.18684,America/Mexico_City
openedApp,breathingExercise,493ED1B1-812F-4EB2-87C8-A8A31DA888CB,1.5,False,1749330529.638279,America/Mexico_City
