timestamp,interventionDuration,isReIntervention,app,resolution,interventionType,timezone,timeIntervalUntilReIntervention
1750864566.715277,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,
1750880855.629111,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750884026.2525659,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750884041.565246,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,
1750884197.060701,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750897320.812304,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,
1750897947.497401,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750897954.43155,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750908674.685051,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750908684.5808802,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,
1750953062.942292,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,
1750953442.950791,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750953450.258923,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750968274.491537,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750968341.7578468,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1750969450.873361,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1750970431.086261,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750970450.9426908,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1750976097.6703548,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1750978515.0686579,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1750983785.378068,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1750984408.176947,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750984411.107708,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750984413.545445,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1750986542.698319,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,180.0
1750991664.178742,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1750999298.4358292,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1751028587.64529,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1751055901.240893,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751068897.286257,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751069242.469606,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751069245.6121411,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751069327.642066,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751116241.155817,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,300.0
1751124688.4162788,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751125020.780524,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751125062.6344352,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,420.0
1751127699.7319279,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751132507.430056,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,360.0
1751138626.126254,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751143553.903487,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751144018.63793,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751145515.075204,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751145679.902231,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751150028.8839998,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751150135.410764,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,540.0
1751155631.1156812,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751156231.5560532,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751156244.9682431,,False,instagram,closedApp,,America/Edmonton,
1751156338.476908,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751156736.570962,,False,instagram,closedApp,,America/Edmonton,
1751156848.25077,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751157111.539088,,False,instagram,closedApp,,America/Edmonton,
1751157123.805118,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,360.0
1751157494.677895,,False,instagram,closedApp,,America/Edmonton,
1751198651.376607,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751198698.189651,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751199040.4463658,,False,instagram,closedApp,,America/Edmonton,
1751203424.872937,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751203781.512415,,False,instagram,closedApp,,America/Edmonton,
1751215834.771625,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751215945.9591,,False,instagram,closedApp,,America/Edmonton,
1751217058.3597522,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751217072.9186912,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751217173.464567,,False,instagram,closedApp,,America/Edmonton,
1751236453.690947,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751236487.5348291,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751237053.619585,,False,instagram,closedApp,,America/Edmonton,
1751239792.829265,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751239879.587899,,False,instagram,closedApp,,America/Edmonton,
1751252851.307425,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751252882.709297,,False,instagram,closedApp,,America/Edmonton,
1751252901.611531,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751253044.6853008,,False,instagram,closedApp,,America/Edmonton,
1751253059.1419501,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751253475.762531,,False,instagram,closedApp,,America/Edmonton,
1751265492.223686,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751266099.548956,,False,instagram,closedApp,,America/Edmonton,
1751266108.733766,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751266485.882187,,False,instagram,closedApp,,America/Edmonton,
1751289635.422174,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751289800.660929,,False,instagram,closedApp,,America/Edmonton,
1751319886.421009,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751319936.052477,,False,instagram,closedApp,,America/Edmonton,
1751319963.912025,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751320244.895325,,False,instagram,closedApp,,America/Edmonton,
1751320251.01703,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751322579.66153,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751322582.6225739,1.5,False,instagram,dismissedAppOpening,breathingExercise,America/Edmonton,
1751337086.386966,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751337135.511351,,False,instagram,closedApp,,America/Edmonton,
1751340076.190312,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751340692.796704,,False,instagram,closedApp,,America/Edmonton,
1751340700.052856,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
1751340774.24962,,False,instagram,closedApp,,America/Edmonton,
1751343823.408766,1.5,False,instagram,openedApp,breathingExercise,America/Edmonton,600.0
