isReIntervention,timezone,timestamp,interventionDuration,interventionType,app,resolution,timeIntervalUntilReIntervention,purpose
False,Europe/Madrid,1752709707.173672,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752709726.598628,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752709878.7828221,1.5,breathingExercise,snapchat,dismissedAppOpening,,
False,Europe/Madrid,1752709883.567662,1.5,breathingExercise,snapchat,dismissedAppOpening,,
False,Europe/Madrid,1752709906.206768,1.5,breathingExercise,snapchat,openedApp,,
False,Europe/Madrid,1752710042.189141,1.5,breathingExercise,tinder,dismissedAppOpening,,
False,Europe/Madrid,1752710204.277244,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752710223.063871,1.5,breathingExercise,youtube,dismissedAppOpening,,
False,Europe/Madrid,1752710236.659596,1.5,breathingExercise,youtube,openedApp,300.0,
False,Europe/Madrid,1752710279.09162,,,youtube,closedApp,,
False,Europe/Madrid,1752710302.044586,,,youtube,closedApp,,
False,Europe/Madrid,1752710420.09847,,,youtube,closedApp,,
False,Europe/Madrid,1752712458.65697,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752712993.209025,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752716670.839744,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752716678.5647721,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752716969.4827461,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752716976.1355681,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752717364.0175052,1.5,breathingExercise,youtube,openedApp,600.0,
False,Europe/Madrid,1752717993.135186,,,youtube,closedApp,,
True,Europe/Madrid,1752718004.7121248,1.5,breathingExercise,youtube,dismissedAppOpening,,
False,Europe/Madrid,1752718031.818932,1.5,breathingExercise,youtube,openedApp,480.0,
False,Europe/Madrid,1752718282.851387,,,youtube,closedApp,,
False,Europe/Madrid,1752718290.606293,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752718403.528012,1.5,breathingExercise,instagram,openedApp,300.0,
False,Europe/Madrid,1752718712.487335,,,instagram,closedApp,,
True,Europe/Madrid,1752718723.820018,1.5,breathingExercise,instagram,openedApp,420.0,
False,Europe/Madrid,1752719143.994398,,,instagram,closedApp,,
True,Europe/Madrid,1752719154.187114,1.5,breathingExercise,instagram,openedApp,360.0,
False,Europe/Madrid,1752719318.6420999,,,instagram,closedApp,,
False,Europe/Madrid,1752721388.730078,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752721669.797319,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752722383.461749,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752722468.835412,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752722666.688385,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752724287.545399,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752724558.959768,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752726324.1413531,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752726644.029263,,,whastapp,closedApp,,
False,Europe/Madrid,1752727001.843159,,,whastapp,closedApp,,
True,Europe/Madrid,1752727011.044592,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752727610.330092,,,whastapp,closedApp,,
True,Europe/Madrid,1752727616.858451,1.5,breathingExercise,whastapp,dismissedAppOpening,,
False,Europe/Madrid,1752727626.886156,1.5,breathingExercise,whastapp,openedApp,540.0,
False,Europe/Madrid,1752727913.605507,,,whastapp,closedApp,,
False,Europe/Madrid,1752728197.447671,,,whastapp,closedApp,,
True,Europe/Madrid,1752728204.854237,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752728443.4449248,,,whastapp,closedApp,,
False,Europe/Madrid,1752728655.757503,,,whastapp,closedApp,,
False,Europe/Madrid,1752728806.190186,,,whastapp,closedApp,,
True,Europe/Madrid,1752728812.770936,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752728887.9979339,,,whastapp,closedApp,,
False,Europe/Madrid,1752729408.0258489,,,whastapp,closedApp,,
False,Europe/Madrid,1752729415.766777,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752729617.088233,,,whastapp,closedApp,,
False,Europe/Madrid,1752730133.344544,,,whastapp,closedApp,,
True,Europe/Madrid,1752730139.895575,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752730567.099977,,,whastapp,closedApp,,
False,Europe/Madrid,1752730572.80913,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752730588.864074,1.5,breathingExercise,instagram,openedApp,60.0,
False,Europe/Madrid,1752730774.8791351,,,whastapp,closedApp,,
True,Europe/Madrid,1752730781.009563,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752731365.164085,,,whastapp,closedApp,,
False,Europe/Madrid,1752731386.864963,,,whastapp,closedApp,,
False,Europe/Madrid,1752731388.533764,1.5,breathingExercise,whastapp,dismissedAppOpening,,
False,Europe/Madrid,1752731526.460732,1.5,breathingExercise,whastapp,openedApp,120.0,
False,Europe/Madrid,1752731750.4684548,1.5,breathingExercise,whastapp,openedApp,60.0,
