interventionType,isReIntervention,resolution,timestamp,app,interventionDuration,timezone
breathingExercise,False,openedApp,1749322640.325729,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749322874.6155682,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749328987.1389298,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749332928.907795,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749374233.6471581,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749375616.9387798,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749385719.902934,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749387386.39959,tikTok,1.5,Europe/London
breathingExercise,False,dismissedAppOpening,1749389761.956262,tikTok,1.5,Europe/London
,False,openedApp,1749397399.118881,tikTok,,Europe/London
,False,closedApp,1749397459.118882,tikTok,,Europe/London
,False,dismissedAppOpening,1749397459.118882,tikTok,,Europe/London
breathingExercise,False,openedApp,1749397473.966991,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749398231.753374,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749400385.757771,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749407985.442596,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749410758.534443,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749415359.7531571,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749442251.781745,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749469550.404711,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749469799.366766,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749470168.3503609,tikTok,1.5,Europe/London
,False,openedApp,1749482984.9259682,tikTok,,Europe/London
,False,closedApp,1749483044.9259691,tikTok,,Europe/London
,False,dismissedAppOpening,1749483044.9259691,tikTok,,Europe/London
breathingExercise,False,openedApp,1749483365.481557,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749498050.2166882,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749505229.71699,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749576303.070455,tikTok,1.5,Europe/London
breathingExercise,False,openedApp,1749576726.495408,tikTok,1.5,Europe/London
