app,timezone,timestamp,interventionDuration,resolution,isReIntervention,interventionType
tikTok,Australia/Melbourne,1750626830.333864,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750626862.829211,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750661034.053392,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750662048.210135,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750662336.384162,1.5,dismissedAppOpening,False,breathingExercise
instagram,Australia/Melbourne,1750662349.1883678,1.5,dismissedAppOpening,False,breathingExercise
instagram,Australia/Melbourne,1750663060.821564,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750663878.634464,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750665560.476316,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750666031.002137,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750666249.5935268,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750666308.674169,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750669180.2553802,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750669234.9505749,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750672873.538892,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750676549.234009,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750677480.532172,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750677619.582442,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750679455.8150811,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750680116.674021,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750680473.723423,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750711701.435288,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721004.820549,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721516.081033,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721553.8125172,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721800.8201442,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721834.368021,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721888.150457,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721923.06315,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750721967.412547,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750722008.595403,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750722023.3287911,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750722311.2306051,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750724933.046884,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750725461.021898,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750733879.9463549,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750735214.734222,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750735219.796145,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750735853.682853,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750735858.678148,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750738480.547653,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750738561.345422,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750738577.64225,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750741118.060355,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750742319.011811,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750742353.599338,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750754584.29457,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750754633.210335,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750754999.742959,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750755070.575385,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750755594.5679321,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750756060.811421,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750759717.236133,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750760566.1959062,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750760585.021451,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750760606.436382,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750769680.443965,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750769695.769098,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750772027.80154,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750799784.0297298,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750800214.8745298,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750800327.584437,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750802164.708795,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750808058.877791,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750813572.322442,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750814737.2198548,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750815499.727738,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750817467.675856,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750817538.9901,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750817642.332139,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750821196.5140362,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750838102.318314,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750839175.19379,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750839188.6093469,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750840883.061799,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750840891.830889,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750842773.373681,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750843195.56152,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750843405.930272,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750843862.0986729,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750844202.088646,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750844336.689506,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750844438.0613441,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750844499.709725,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750845855.070644,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750846005.226356,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750846283.706342,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750848920.023322,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750852255.0958672,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750852989.795434,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750853090.724773,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750853132.355937,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750853376.1617088,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750854002.797947,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750854905.910783,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750855023.158849,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750855070.272897,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750855232.5986829,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750855375.035009,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750855573.654087,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750855938.8367329,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750855981.9314241,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750856074.1578898,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750884892.050564,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750887916.39833,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750888476.0909472,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750888781.178107,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750888920.756421,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750888989.1528192,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750889036.266944,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750889213.995212,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750889311.0711899,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750889435.48594,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750889617.692412,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750890126.174741,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750890417.146903,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750890709.6190128,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750890789.995417,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750890946.0073528,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750891500.745652,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750891876.063326,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750891899.0284991,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750892124.117245,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750892439.466954,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750892571.459271,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750893571.338383,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750893651.82916,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750894017.744285,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750894467.48846,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750895524.035913,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750895544.318952,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750895571.1344419,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750895593.713124,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750895616.3968601,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750895712.993888,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750895924.999517,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750896567.237272,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750896622.3037992,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750896657.883106,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750896691.782068,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750896734.150772,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750896748.145282,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750896807.627312,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750896855.224204,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750896966.715654,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750897058.695507,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750897096.859147,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750897185.992239,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750897449.329978,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750898426.9699512,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750911803.513118,1.5,openedApp,False,breathingExercise
tikTok,Australia/Melbourne,1750919045.787745,1.5,dismissedAppOpening,False,breathingExercise
tikTok,Australia/Melbourne,1750925307.405435,1.5,openedApp,False,breathingExercise
