interventionDuration,resolution,isReIntervention,timestamp,interventionType,timezone,app
1.5,openedApp,False,1752538733.988303,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752538760.218566,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752538763.031488,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752538827.309928,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752542282.775506,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752542665.0932841,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752543282.339078,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752548178.720187,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752588822.455522,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752592540.3844671,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752593997.5671039,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752599668.642102,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752599781.6446261,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752601108.434217,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752601691.727933,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752602155.154994,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752605618.234127,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752605970.948664,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752606444.238511,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752606539.831497,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752606896.0654202,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752606969.619186,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752607326.213947,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752607330.769449,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752607513.049652,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752607733.47088,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752610263.939348,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752611916.181179,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752621165.397013,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752621189.5174809,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752621204.737791,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752621227.501863,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752621794.627452,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752627948.695823,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752628688.5627,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752628801.40698,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752630124.528329,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752630817.976561,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752630931.926827,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752631196.978887,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752631215.660044,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752631282.9282289,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752631299.0269918,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752631348.105506,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752631853.9833388,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752632026.467616,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752632169.180587,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752632173.9047961,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752632445.8023992,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752632608.825087,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752692708.714109,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752693287.938618,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752694772.2050118,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752697919.6561031,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752698884.85843,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752700042.005443,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752700257.6702352,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752700562.8204808,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752702066.429975,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752702603.850651,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752709097.9995232,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752710364.4475331,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752710433.446316,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752710440.097663,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752716561.63701,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752716633.5708241,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752716679.72001,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752716684.144393,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752716717.501457,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752716841.475209,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752717057.0101929,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752717206.3164449,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752717903.5140939,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752717962.213708,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752718337.165718,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752718414.422227,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752718786.552011,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752718849.623712,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752719961.083949,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752764270.666863,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752765743.806645,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752766511.427302,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752769735.116097,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752769863.3007069,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752769869.1259809,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752769997.8470469,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752772358.241889,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752773814.488245,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752774324.938204,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752780563.490226,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752781531.556384,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752781561.9339252,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752785807.088835,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752789503.49734,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752795464.82345,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752799411.870225,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752801712.7279181,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752802658.920961,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752804500.024008,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752804801.078572,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752805059.7607,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752805241.3309078,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752805809.557558,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752852398.4292169,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752852482.029021,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752854252.430773,breathingExercise,America/New_York,instagram
1.5,openedApp,False,1752860803.494752,breathingExercise,America/New_York,instagram
1.5,dismissedAppOpening,False,1752861449.942169,breathingExercise,America/New_York,instagram
