isReIntervention,interventionType,timezone,interventionDuration,timestamp,resolution,app
False,breathingExercise,Asia/Karachi,1.5,1748798931.863996,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748807907.859659,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748810350.9231029,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748811621.968289,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748811749.6238918,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748818324.812413,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748849497.4324598,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748850756.735389,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748851034.370119,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748854118.662072,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748854142.6009169,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748855379.355657,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748855435.790066,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748867608.240717,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748870419.659134,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748870583.5096931,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748873750.643777,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748874771.5917978,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748875139.677431,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748875345.430294,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748875577.5922918,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748876515.6017342,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748876986.938582,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748878129.92494,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748881423.599282,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748882497.431158,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748882811.171918,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748883417.840586,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748883598.307849,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748883767.678637,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748884631.066181,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748887169.521116,dismissedAppOpening,instagram
False,breathingExercise,Asia/Karachi,1.5,1748888461.206152,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748888473.3052511,dismissedAppOpening,instagram
False,breathingExercise,Asia/Karachi,1.5,1748889417.005621,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748891491.2492208,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748892382.755245,dismissedAppOpening,instagram
False,breathingExercise,Asia/Karachi,1.5,1748892425.653111,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748894153.496358,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748931913.114778,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748933964.425528,dismissedAppOpening,instagram
False,breathingExercise,Asia/Karachi,1.5,1748934666.240477,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748934718.0736198,dismissedAppOpening,instagram
False,breathingExercise,Asia/Karachi,1.5,1748934721.007901,dismissedAppOpening,instagram
False,breathingExercise,Asia/Karachi,1.5,1748934806.150587,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748934910.1482449,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748936558.95288,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748944092.136075,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748944470.697795,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748945784.5867019,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748946422.403143,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748949738.633823,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748950343.69186,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748950457.836945,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748952537.118628,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748952624.581147,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748952882.817318,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748954852.408502,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748961116.0965471,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748963122.448139,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748963781.645652,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748964222.2090502,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748964455.058083,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748967329.843349,dismissedAppOpening,instagram
False,breathingExercise,Asia/Karachi,1.5,1748977040.010954,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748981657.6062388,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748981682.711786,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748982925.46996,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748984790.529405,openedApp,instagram
False,breathingExercise,Asia/Karachi,1.5,1748985711.175552,openedApp,instagram
