timestamp,interventionDuration,timezone,isReIntervention,app,interventionType,resolution
1751086398.168301,1.5,Asia/Manila,False,tikTok,breathingExercise,openedApp
1751086441.654254,1.5,Asia/Manila,False,tikTok,breathingExercise,openedApp
1751086497.526047,1.5,Asia/Manila,False,tikTok,breathingExercise,openedApp
1751086994.885178,1.5,Asia/Manila,False,tikTok,breathingExercise,dismissedAppOpening
1751153503.425703,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751279370.3491058,1.5,Asia/Manila,False,tikTok,breathingExercise,dismissedAppOpening
1751374173.69573,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751465849.938469,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751465858.9911962,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751466244.943379,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751466255.8040318,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751540045.107232,1.5,Asia/Manila,False,tikTok,breathingExercise,openedApp
1751550911.0890331,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751552602.605754,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751634706.7230082,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751637311.978907,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
1751723228.7435632,1.5,Asia/Manila,False,facebook,breathingExercise,dismissedAppOpening
