isReIntervention,app,interventionType,timezone,interventionDuration,resolution,timestamp,purpose
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750105298.2032518,
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750105981.742711,
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750107021.872714,
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750109767.74069,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750111164.055892,Bored
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750111195.34524,
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750111406.2159061,
False,snapchat,breathingExercise,America/Chicago,1.5,openedApp,1750111648.300902,Message
False,snapchat,breathingExercise,America/Chicago,1.5,openedApp,1750112609.769731,Message
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750116801.7841191,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750117074.17375,
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750117576.107082,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750118741.013417,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750119681.3667521,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750122061.515815,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750122306.764888,Escape / Avoid
False,snapchat,breathingExercise,America/Chicago,1.5,openedApp,1750123684.2583508,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750124090.0426412,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750126624.025268,
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750127888.392311,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750128079.472169,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750128256.9730148,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750132046.496306,
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750133243.81909,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750138180.622198,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750167402.829289,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750168371.60549,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,dismissedAppOpening,1750174211.249953,
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750174708.624753,Escape / Avoid
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750174822.887902,Entertainment
False,instagram,breathingExercise,America/Chicago,1.5,openedApp,1750183332.597502,Escape / Avoid
