app,timeIntervalUntilReIntervention,interventionDuration,timezone,timestamp,isReIntervention,resolution,interventionType,purpose,terminationReason
instagram,60.0,1.5,Europe/Warsaw,1748723200.762234,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748754580.758359,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748754960.805012,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748756139.8590012,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748760551.822428,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748761936.3783689,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748778142.505935,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748779902.6898952,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748781901.3614678,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748785075.634903,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748787581.970461,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748787585.139214,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748788963.081705,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748796177.293686,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748796202.6774669,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748808798.711323,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748808901.205421,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748811444.030579,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748813176.448256,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748813425.373282,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748851344.070066,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,300.0,1.5,Europe/Warsaw,1748879002.6194801,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748879286.427016,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1748879300.203814,0.0,openedApp,breathingExercise,,
linkedin,,,Europe/Warsaw,1748879302.771027,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1748879307.2341352,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1748879392.299175,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1748879550.529017,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748879634.371173,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748880950.1936932,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748892248.672466,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1748892743.191437,0.0,openedApp,breathingExercise,,
linkedin,,,Europe/Warsaw,1748892746.906115,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1748892843.406455,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1748894372.62253,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748927073.522886,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748927092.167423,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748932390.866462,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748942624.993439,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748942649.656832,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748957169.205453,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748958673.262166,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1748972150.997418,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748975529.798575,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748976599.5831342,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1748987274.789768,0.0,dismissedAppOpening,askForTimeLimit,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,1.5,Europe/Warsaw,1748987569.073295,0.0,openedApp,breathingExercise,Stay In the Loop,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1748987621.2322922,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1748987658.615849,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1748987705.656618,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749022806.43332,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749036466.577176,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749036845.001724,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749043206.672854,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749047759.8507829,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749056111.644435,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749056756.215852,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749068535.5403938,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749071154.2331,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749078662.781564,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749082463.600943,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749102002.532333,0.0,openedApp,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749102835.10919,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749102838.101965,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749102842.542578,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749103016.46889,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749103048.338513,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749103049.703887,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749103051.835318,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749110224.564028,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749110228.84237,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749122885.851644,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749143077.070426,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749149187.9360619,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749190962.6802669,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749191160.1545691,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749191985.2135,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749192253.132203,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749192265.497186,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749192267.503716,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749192272.117178,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749192280.167747,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749192309.002114,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749192320.684809,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,1.5,Europe/Warsaw,1749211919.569649,0.0,openedApp,breathingExercise,Stay In the Loop,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749212005.405254,0.0,closedApp,,,
linkedin,,1.5,Europe/Warsaw,1749212014.759098,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749212018.304378,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749212144.351743,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749225093.916611,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749277580.6189718,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749277584.870707,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749277631.821536,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749277638.0919828,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749283381.8202891,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749283390.8345962,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749283397.500663,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749283436.77309,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749283438.615499,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749283455.7927918,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749286615.233093,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749288391.967957,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749288423.576747,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749290159.012,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749294976.468843,0.0,dismissedAppOpening,askForTimeLimit,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,1.5,Europe/Warsaw,1749295001.634094,0.0,openedApp,breathingExercise,Stay In the Loop,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749295067.55403,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749295118.610668,0.0,closedApp,,,
linkedin,,1.5,Europe/Warsaw,1749312071.965908,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749312075.746064,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749312219.9189591,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749317080.92038,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749320073.1013842,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749378189.913618,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749387149.277518,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749387233.5027962,1.0,openedApp,breathingExercise,Toilet,
linkedin,,1.5,Europe/Warsaw,1749404501.772797,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749404505.7434502,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749404508.204005,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749404571.454043,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749466720.312073,1.0,openedApp,breathingExercise,Message,
instagram,60.0,1.5,Europe/Warsaw,1749466799.101038,1.0,openedApp,breathingExercise,Stay In the Loop,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,1.5,Europe/Warsaw,1749467222.787846,0.0,openedApp,breathingExercise,Stay In the Loop,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749467235.9359012,0.0,closedApp,,,
DB5B0D08-D10B-4072-A6BC-56D17CC448A4,,,Europe/Warsaw,1749467271.0850282,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749482237.181076,0.0,openedApp,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749482309.121239,0.0,dismissedAppOpening,breathingExercise,,
linkedin,,1.5,Europe/Warsaw,1749485521.0802212,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749485523.136015,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749485527.269861,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749485537.725307,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749488654.4763389,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749493407.339366,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749495295.993403,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749505681.9215012,0.0,openedApp,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749532024.5809531,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749532028.012854,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749532033.3288522,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749532110.8559132,0.0,closedApp,,,
instagram,60.0,1.5,Europe/Warsaw,1749548362.21673,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749548938.8000689,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749552293.164514,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749552831.5252872,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749552834.949319,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749557440.027614,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749557532.66579,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749559088.679162,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749561778.3028831,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749565541.4032779,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749571130.436919,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749571134.424556,0.0,openedApp,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749571205.994835,1.0,openedApp,breathingExercise,Stay In the Loop,
instagram,,1.5,Europe/Warsaw,1749584354.661555,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749586492.497019,0.0,dismissedAppOpening,askForTimeLimit,,
linkedin,,1.5,Europe/Warsaw,1749587178.8278909,0.0,openedApp,breathingExercise,Stay In the Loop,
linkedin,,,Europe/Warsaw,1749587191.274831,0.0,closedApp,,,
linkedin,,,Europe/Warsaw,1749587329.03685,0.0,closedApp,,,
instagram,,1.5,Europe/Warsaw,1749587476.198806,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749589853.808872,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749591035.849039,0.0,openedApp,askForTimeLimit,,
instagram,,1.5,Europe/Warsaw,1749591299.3678331,0.0,dismissedAppOpening,askForTimeLimit,,
instagram,60.0,1.5,Europe/Warsaw,1749621375.267387,0.0,openedApp,askForTimeLimit,,
instagram,180.0,1.5,Europe/Warsaw,1749621453.007804,1.0,openedApp,breathingExercise,Stay In the Loop,
