timezone,resolution,app,interventionDuration,timestamp,interventionType,isReIntervention
America/Edmonton,dismissedAppOpening,instagram,1.5,1748899359.608685,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748899369.020801,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748902154.8380141,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748902390.335277,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748902449.509354,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748902763.4266682,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748903145.207619,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748906155.1661758,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748911408.558115,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748921606.9398441,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748923174.139632,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748924285.145031,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748924548.615079,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748925753.5487099,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748926194.4943519,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748926479.717741,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748926501.7740889,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748926823.5560431,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748927576.274967,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748927741.395572,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748927883.49162,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748927888.586576,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748928212.65382,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748928665.6114511,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748960321.508158,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748960325.241413,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748960330.755841,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748960450.607716,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748960625.82745,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748963774.403634,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748964651.359493,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748964680.370619,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748964719.993716,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748966403.08445,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748967436.275013,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748975750.292111,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748975793.9347029,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748975837.946017,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748976898.2721229,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748977880.7479758,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748978088.858708,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748981312.088478,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748986158.667212,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748986300.126503,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748986360.515178,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748988823.616081,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748989055.535706,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748989938.15854,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748990388.429268,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748990432.9142551,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748990595.796945,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748990613.278273,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748991096.377193,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748991453.8073258,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748992489.1495628,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1748993918.300015,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748993926.366459,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748996538.6828089,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1748998031.560783,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749003955.279993,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749005123.4697971,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749005136.517614,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749005142.4228392,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749009744.6740031,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749009812.549465,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749009947.7470431,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749010057.193159,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749010630.4907088,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749010663.3861098,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749046445.516161,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749046468.696056,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749046881.154007,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749054940.4479089,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749055786.0247269,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749055998.553544,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749056343.4076061,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749056860.147595,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749057888.9966822,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749058248.341733,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749058251.572026,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749058318.1530151,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749058919.6432261,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749059123.7072558,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749059243.970728,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749072394.0792499,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749072405.2830229,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749072416.0798988,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749072634.460686,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749072646.035831,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749072969.762322,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749073209.4513168,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749073784.85059,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749073856.424478,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749073883.63188,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749075805.820766,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749075880.416305,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749076264.686466,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749076535.6637092,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749076570.680972,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749077357.2708101,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749077909.633759,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749079419.5075479,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749088672.643632,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749090369.769608,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749094391.82332,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749095077.70926,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749095585.242312,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749095595.535671,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749096537.436995,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749096594.347548,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749096988.161834,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749098579.402112,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749099070.259956,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749099199.953625,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749100230.295285,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749100786.288604,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749100796.151949,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749101968.263544,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749102853.3653178,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749102888.407496,breathingExercise,False
America/Edmonton,dismissedAppOpening,instagram,1.5,1749132952.549244,breathingExercise,False
America/Edmonton,openedApp,instagram,1.5,1749132983.953295,breathingExercise,False
