timezone,timestamp,interventionType,isReIntervention,interventionDuration,resolution,app,purpose
Europe/Bucharest,1749887163.603195,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749887169.6132178,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749887179.9563599,breathingExercise,False,1.5,openedApp,tikTok,Escape / Avoid
Europe/Bucharest,1749887673.393497,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749887913.735287,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749888743.967493,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749889077.201908,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749889409.839225,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749890287.141959,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749890567.3718681,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749891074.2929878,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749891614.619731,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749892141.9719481,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749892150.47653,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749892588.4071488,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749893094.654104,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749894264.806622,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749894869.756396,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749895689.143466,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749896532.6240702,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749896538.5379338,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749896545.630602,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749897004.563706,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749897130.294551,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749897701.88253,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749897706.0687351,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749897715.3948488,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749898188.881727,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749898271.868379,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749898278.972213,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749898647.837627,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749899524.946492,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749900625.526988,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749900979.046179,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749900983.5915952,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749900991.5700278,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749901653.34899,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749902098.736885,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749902616.1259232,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749903042.088301,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
