timezone,interventionType,isReIntervention,timestamp,interventionDuration,app,resolution,timeIntervalUntilReIntervention
Europe/Berlin,breathingExercise,False,1751915327.199858,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751925194.9205709,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751952665.92258,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751959531.5966458,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751960977.036711,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751960989.524646,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751968245.953117,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751969360.9382029,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751969799.896466,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751969856.7682629,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751970370.599255,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751978252.701112,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751978780.567352,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751978789.895858,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751983648.733916,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751990616.095107,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751992186.328465,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751996511.313978,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751996726.187317,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751998059.389404,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1751998170.921515,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1751998205.448176,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752002975.577893,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752042539.063595,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752042858.625589,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752043449.0977979,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752049456.574582,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752049476.205508,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752049556.522811,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752050322.941571,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752050415.7842422,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752050423.41679,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752051548.619124,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752051812.11899,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752055755.7714639,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752067015.229079,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752071463.7772179,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752073051.92262,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752077538.015358,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752082162.180379,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752085623.055218,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752085774.655175,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752092373.271033,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752092524.9121308,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752096986.446262,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752124382.833833,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752125136.608481,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752125881.520746,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752129643.810972,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752133272.2504601,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752149640.83467,1.5,instagram,openedApp,
Europe/Berlin,breathingExercise,False,1752150646.80952,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752158772.2665439,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752159575.4916348,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752160287.2673712,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752164216.977308,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752164323.7197561,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752170641.40101,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752170680.15348,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752172198.677321,1.5,instagram,openedApp,120.0
Europe/Berlin,breathingExercise,False,1752172347.98778,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752172539.612059,1.5,instagram,openedApp,240.0
Europe/Berlin,breathingExercise,False,1752172803.548475,1.5,instagram,openedApp,360.0
Europe/Berlin,breathingExercise,False,1752173966.309739,1.5,instagram,openedApp,180.0
Europe/Berlin,breathingExercise,False,1752174849.926,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752177827.8322248,1.5,instagram,openedApp,60.0
Europe/Berlin,breathingExercise,False,1752178127.212105,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752178135.1440039,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752181433.187181,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752181746.316536,1.5,instagram,openedApp,180.0
Europe/Berlin,breathingExercise,False,1752183129.7664862,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752214063.11769,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752214108.0117621,1.5,instagram,openedApp,180.0
Europe/Berlin,breathingExercise,False,1752214348.870789,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752214384.5634189,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752218586.639235,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752224194.133821,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752226461.8548632,1.5,instagram,openedApp,120.0
Europe/Berlin,breathingExercise,False,1752228955.7265038,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752229141.3559031,1.5,instagram,openedApp,120.0
Europe/Berlin,breathingExercise,False,1752231798.3185282,1.5,instagram,dismissedAppOpening,
Europe/Amsterdam,breathingExercise,False,1752268785.3870912,1.5,instagram,openedApp,300.0
Europe/Amsterdam,breathingExercise,False,1752269102.1105661,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752274985.376,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752275151.905725,1.5,instagram,openedApp,360.0
Europe/Berlin,breathingExercise,False,1752275534.441,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752276426.3957539,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752276449.362998,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752276455.187921,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752304906.258381,1.5,instagram,openedApp,360.0
Europe/Berlin,breathingExercise,False,1752305290.78039,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752305603.113895,1.5,instagram,openedApp,180.0
Europe/Berlin,breathingExercise,False,1752305793.008178,1.5,instagram,openedApp,180.0
Europe/Berlin,breathingExercise,False,1752309026.089373,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752320080.347035,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752333775.795084,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752334960.0581799,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752337968.8439631,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752347122.664597,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752348455.434278,1.5,instagram,openedApp,240.0
Europe/Berlin,breathingExercise,False,1752364077.926816,1.5,instagram,openedApp,360.0
Europe/Berlin,breathingExercise,False,1752364452.344263,1.5,instagram,openedApp,360.0
Europe/Berlin,breathingExercise,False,1752364795.213228,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752365051.592146,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752365174.161628,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752365472.271147,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752365860.891675,1.5,instagram,openedApp,240.0
Europe/Berlin,breathingExercise,False,1752366612.5487108,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752368863.904412,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752395686.2671099,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752396167.948827,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752396529.7249742,1.5,instagram,openedApp,180.0
Europe/Berlin,breathingExercise,False,1752398204.077085,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752400688.893276,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752400755.048054,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752402832.760854,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752403390.298668,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752405049.0888572,1.5,instagram,dismissedAppOpening,
Europe/Amsterdam,breathingExercise,False,1752412021.408589,1.5,instagram,dismissedAppOpening,
Europe/Amsterdam,breathingExercise,False,1752412048.753156,1.5,instagram,openedApp,240.0
Europe/Amsterdam,breathingExercise,False,1752412328.374357,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752417470.473726,1.5,instagram,openedApp,600.0
Europe/Berlin,breathingExercise,False,1752418314.8352408,1.5,instagram,openedApp,600.0
Europe/Berlin,breathingExercise,False,1752418933.2156858,1.5,instagram,openedApp,240.0
Europe/Berlin,breathingExercise,False,1752419174.000407,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752419326.120129,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752420220.758449,1.5,instagram,openedApp,600.0
Europe/Berlin,breathingExercise,False,1752421560.1424642,1.5,instagram,dismissedAppOpening,
Europe/Berlin,breathingExercise,False,1752421993.631915,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752422499.950073,1.5,instagram,openedApp,360.0
Europe/Berlin,breathingExercise,False,1752424660.0589051,1.5,instagram,openedApp,180.0
Europe/Berlin,breathingExercise,False,1752434563.252775,1.5,instagram,openedApp,420.0
Europe/Berlin,breathingExercise,False,1752435028.964855,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752435101.141021,1.5,instagram,openedApp,300.0
Europe/Berlin,breathingExercise,False,1752437341.339828,1.5,instagram,openedApp,600.0
Europe/Berlin,breathingExercise,False,1752437637.608475,1.5,instagram,openedApp,600.0
