timestamp,interventionType,interventionDuration,isReIntervention,timezone,resolution,app,purpose
1738771240.391233,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738787530.6024132,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Stay In the Loop
1738795556.000634,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Entertainment
1738828043.242336,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Message
1738834013.922904,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Search Info
1738834767.575375,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738839070.75251,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Verveeld
1738845109.402759,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738854513.87675,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Verveeld
1738861597.244491,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738878364.8417258,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Entertainment
1738879727.3900862,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Stalk crush
1738915273.358675,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Stay In the Loop
1738919307.292326,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Message
1738921219.432765,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Message
1738927697.131455,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738932130.866646,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738935433.118483,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Verveeld
1738946636.604298,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Relax
1738950687.492132,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Stalk crush
1738952145.183142,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738954068.317274,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Stalk crush
1738961290.19272,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Kan niet slapen
1738964777.051704,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Kan niet slapen
1738965081.887806,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738965186.3877668,breathingExercise,1.5,False,Europe/Amsterdam,openedApp,instagram,Verveeld
1738966692.015417,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
1738966694.887075,breathingExercise,1.5,False,Europe/Amsterdam,dismissedAppOpening,instagram,
