interventionType,timezone,resolution,app,interventionDuration,isReIntervention,timestamp
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751832626.9082742
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751833638.673747
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751875862.415106
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751875869.635077
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751875952.155634
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751885183.852145
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751885211.290297
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1751895692.4138951
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751904246.421639
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751904291.184044
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751906605.063264
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1751909155.168968
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751911570.322907
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751913311.406029
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751913318.087749
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1751915599.581756
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751918821.61834
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751918824.896765
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751920009.950108
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751921226.996906
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1751921293.479408
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751958342.212792
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751965214.720701
breathingExercise,Europe/Brussels,openedApp,instagram,1.5,False,1751965765.9259372
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751977746.029087
breathingExercise,Europe/Brussels,openedApp,instagram,1.5,False,1751977756.425212
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751980422.500685
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751981516.2657309
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751981598.1410708
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751982069.105754
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751985204.8255172
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751985214.123075
breathingExercise,Europe/Brussels,dismissedAppOpening,instagram,1.5,False,1751985216.851996
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752001380.2307348
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752001386.684867
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752002229.1465359
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752004035.015707
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752004309.375986
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752004312.50877
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752005049.044468
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752005673.030425
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752006967.6766748
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752007074.8202481
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752007127.8504748
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752008189.501807
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752037484.5366921
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752038378.255393
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752040658.01798
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752075639.313648
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752080571.5308518
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752088931.8961039
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752092466.0615091
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752098011.195128
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752098219.741034
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752124509.867392
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752140122.282898
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752140174.13996
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752140188.9342442
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752144367.075779
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752145422.959032
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752152711.794847
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752153208.328075
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752153281.604068
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752157866.389957
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752158982.176058
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752162016.0224838
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752183197.808754
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752185882.6968222
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752210080.0371861
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752211360.039928
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752212958.2394528
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752220803.8697429
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752232104.724865
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752232151.463985
breathingExercise,Europe/Amsterdam,dismissedAppOpening,instagram,1.5,False,1752232177.824795
breathingExercise,Europe/Amsterdam,openedApp,instagram,1.5,False,1752242537.421695
